visa_record_id,employee_id,visa_status,effective_date,end_date,work_authorization_status,verification_status
VISA000374,DUD100257,Spouse of Japanese National,2024-09-20,,Eligible,Verified
VISA000375,DUD100258,Spouse of Japanese National,2026-01-12,,Eligible,Verified
VISA000376,DUD100259,Permanent Resident,2022-10-28,,Eligible,Verified
VISA000377,DUD100260,Work Visa,2023-12-05,,Eligible,Verified
VISA000378,DUD100261,Work Visa,2024-04-28,,Eligible,Verified
VISA000379,DUD100262,Work Visa,2019-05-17,,Eligible,Verified
VISA000380,DUD100263,Long-Term Resident,2023-10-17,,Eligible,Verified
VISA000381,DUD100264,Permanent Resident,2019-09-10,,Eligible,Verified
VISA000382,DUD100265,Other Work-Eligible Status,2023-10-04,,Eligible,Verified
VISA000383,DUD100266,Permanent Resident,2023-03-07,,Eligible,Verified
VISA000384,DUD100267,Work Visa,2023-02-21,,Eligible,Verified
VISA000385,DUD100268,Work Visa,2023-02-20,2025-06-02,Eligible,Verified
VISA000386,DUD100268,Long-Term Resident,2025-06-03,,Eligible,Verified
VISA000387,DUD100269,Work Visa,2021-11-22,,Eligible,Verified
VISA000388,DUD100270,Other Work-Eligible Status,2021-04-16,,Eligible,Verified
VISA000389,DUD100271,Work Visa,2021-08-01,,Eligible,Verified
VISA000390,DUD100272,Work Visa,2025-05-26,,Eligible,Verified
VISA000391,DUD100273,Spouse of Japanese National,2025-09-22,,Eligible,Verified
VISA000392,DUD100274,Work Visa,2020-08-28,,Eligible,Verified
VISA000393,DUD100275,Work Visa,2024-08-12,,Eligible,Verified
VISA000394,DUD100276,Permanent Resident,2021-04-24,,Eligible,Verified
VISA000395,DUD100277,Work Visa,2020-12-18,,Pending,Verified
VISA000396,DUD100278,Spouse of Japanese National,2019-12-08,,Eligible,Verified
VISA000397,DUD100279,Work Visa,2023-04-05,,Eligible,Verified
VISA000398,DUD100280,Long-Term Resident,2020-02-28,,Eligible,Verified
VISA000399,DUD100281,Permanent Resident,2022-10-16,,Eligible,Verified
VISA000400,DUD100282,Spouse of Japanese National,2019-07-08,,Eligible,Verified
VISA000401,DUD100283,Work Visa,2023-09-29,,Eligible,Verified
VISA000402,DUD100284,Permanent Resident,2021-02-27,,Eligible,Verified
VISA000403,DUD100285,Long-Term Resident,2024-06-03,,Eligible,Verified
VISA000404,DUD100286,Dependent Visa with Work Permission,2023-05-21,,Eligible,Verified
VISA000405,DUD100287,Work Visa,2019-06-01,,Eligible,Verified
VISA000406,DUD100288,Work Visa,2023-09-09,,Eligible,Verified
VISA000407,DUD100289,Work Visa,2020-01-11,,Eligible,Verified
VISA000408,DUD100290,Work Visa,2020-06-01,,Eligible,Verified
VISA000409,DUD100291,Permanent Resident,2024-07-04,,Eligible,Verified
VISA000410,DUD100292,Work Visa,2022-02-14,,Eligible,Verified
VISA000411,DUD100293,Work Visa,2021-08-16,2023-07-29,Eligible,Verified
VISA000412,DUD100293,Spouse of Japanese National,2023-07-30,,Eligible,Verified
VISA000413,DUD100294,Work Visa,2019-11-27,,Eligible,Verified
VISA000414,DUD100295,Work Visa,2019-10-08,2023-07-27,Eligible,Verified
VISA000415,DUD100295,Permanent Resident,2023-07-28,,Eligible,Verified
VISA000416,DUD100296,Work Visa,2025-04-30,,Eligible,Verified
VISA000417,DUD100297,Long-Term Resident,2020-10-11,,Eligible,Verified
VISA000418,DUD100298,Work Visa,2026-01-15,,Eligible,Verified
VISA000419,DUD100299,Work Visa,2021-05-27,,Eligible,Verified
VISA000420,DUD100300,Work Visa,2024-11-21,,Eligible,Verified
VISA000421,DUD100301,Work Visa,2020-09-18,,Eligible,Verified
VISA000422,DUD100302,Long-Term Resident,2021-10-10,,Eligible,Verified
VISA000423,DUD100303,Work Visa,2019-12-21,,Eligible,Verified
VISA000424,DUD100304,Work Visa,2022-01-31,,Eligible,Verified
VISA000425,DUD100305,Student Visa with Work Permission,2021-04-25,,Eligible,Verified
VISA000426,DUD100306,Work Visa,2024-02-23,,Eligible,Verified
VISA000427,DUD100307,Permanent Resident,2019-08-29,,Eligible,Verified
VISA000428,DUD100308,Spouse of Japanese National,2025-01-10,,Eligible,Verified
VISA000429,DUD100309,Permanent Resident,2022-08-15,,Eligible,Verified
VISA000430,DUD100310,Work Visa,2020-05-14,2023-10-17,Eligible,Verified
VISA000431,DUD100310,Permanent Resident,2023-10-18,,Eligible,Verified
VISA000432,DUD100311,Permanent Resident,2021-11-07,,Pending,Verified
VISA000433,DUD100312,Work Visa,2020-12-19,,Eligible,Verified
VISA000434,DUD100313,Spouse of Japanese National,2025-09-19,,Eligible,Verified
VISA000435,DUD100314,Work Visa,2023-09-26,,Eligible,Verified
VISA000436,DUD100315,Work Visa,2023-12-03,,Eligible,Verified
VISA000437,DUD100316,Student Visa with Work Permission,2021-11-18,,Eligible,Verified
VISA000438,DUD100317,Work Visa,2020-07-08,,Eligible,Verified
VISA000439,DUD100318,Work Visa,2019-06-27,,Eligible,Verified
VISA000440,DUD100319,Work Visa,2022-05-07,,Eligible,Verified
VISA000441,DUD100320,Work Visa,2025-12-27,,Eligible,Verified
VISA000442,DUD100321,Spouse of Japanese National,2021-01-03,,Eligible,Verified
VISA000443,DUD100322,Work Visa,2022-05-29,,Eligible,Verified
VISA000444,DUD100323,Permanent Resident,2022-12-23,,Eligible,Verified
VISA000445,DUD100324,Spouse of Japanese National,2020-12-05,,Eligible,Verified
VISA000446,DUD100325,Spouse of Japanese National,2023-12-21,,Eligible,Verified
VISA000447,DUD100326,Spouse of Japanese National,2022-04-17,,Eligible,Verified
VISA000448,DUD100327,Long-Term Resident,2023-08-20,,Eligible,Verified
VISA000449,DUD100328,Student Visa with Work Permission,2020-01-01,,Eligible,Verified
VISA000450,DUD100329,Work Visa,2023-09-20,,Eligible,Verified
VISA000451,DUD100330,Work Visa,2019-09-25,,Eligible,Verified
VISA000452,DUD100331,Work Visa,2019-12-02,,Eligible,Verified
VISA000453,DUD100332,Work Visa,2023-09-10,,Eligible,Verified
VISA000454,DUD100333,Permanent Resident,2020-08-02,,Eligible,Verified
VISA000455,DUD100334,Other Work-Eligible Status,2025-08-30,,Eligible,Verified
VISA000456,DUD100335,Permanent Resident,2020-10-20,,Eligible,Verified
VISA000457,DUD100336,Work Visa,2024-03-16,,Eligible,Verified
VISA000458,DUD100337,Permanent Resident,2019-09-01,,Eligible,Verified
VISA000459,DUD100338,Work Visa,2024-06-01,2025-12-01,Eligible,Verified
VISA000460,DUD100338,Permanent Resident,2025-12-02,,Eligible,Verified
VISA000461,DUD100339,Permanent Resident,2019-12-31,,Eligible,Verified
VISA000462,DUD100340,Long-Term Resident,2024-09-25,,Eligible,Verified
VISA000463,DUD100341,Permanent Resident,2025-08-06,,Eligible,Verified
VISA000464,DUD100342,Work Visa,2020-08-19,,Eligible,Verified
VISA000465,DUD100343,Work Visa,2022-09-21,,Eligible,Verified
VISA000466,DUD100344,Work Visa,2024-09-12,,Eligible,Verified
VISA000467,DUD100345,Work Visa,2019-12-12,,Eligible,Verified
VISA000468,DUD100346,Permanent Resident,2020-12-10,,Eligible,Verified
VISA000469,DUD100347,Spouse of Japanese National,2019-08-16,,Eligible,Verified
VISA000470,DUD100348,Work Visa,2020-04-28,,Eligible,Verified
VISA000471,DUD100349,Spouse of Japanese National,2025-02-03,,Eligible,Verified
VISA000472,DUD100350,Spouse of Japanese National,2019-10-09,,Eligible,Verified
VISA000473,DUD100351,Work Visa,2024-04-01,,Eligible,Verified
VISA000474,DUD100352,Spouse of Japanese National,2022-06-22,,Eligible,Verified
VISA000475,DUD100353,Permanent Resident,2019-11-09,,Eligible,Verified
VISA000476,DUD100354,Long-Term Resident,2025-03-27,,Eligible,Verified
VISA000477,DUD100355,Permanent Resident,2021-10-07,,Eligible,Verified
VISA000478,DUD100356,Spouse of Japanese National,2024-08-26,,Eligible,Verified
VISA000479,DUD100357,Work Visa,2022-09-06,2024-11-18,Eligible,Verified
VISA000480,DUD100357,Long-Term Resident,2024-11-19,,Eligible,Verified
VISA000481,DUD100358,Other Work-Eligible Status,2024-03-06,,Eligible,Verified
VISA000482,DUD100359,Spouse of Japanese National,2022-10-13,,Eligible,Verified
VISA000483,DUD100360,Work Visa,2025-11-01,,Eligible,Verified
VISA000484,DUD100361,Work Visa,2022-10-27,,Eligible,Verified
VISA000485,DUD100362,Work Visa,2022-07-19,,Eligible,Verified
VISA000486,DUD100363,Work Visa,2023-11-01,,Eligible,Verified
VISA000487,DUD100364,Long-Term Resident,2020-02-08,,Eligible,Verified
VISA000488,DUD100365,Long-Term Resident,2026-02-07,,Eligible,Verified
VISA000489,DUD100366,Work Visa,2021-12-17,,Eligible,Verified
VISA000490,DUD100367,Permanent Resident,2025-03-23,,Eligible,Verified
VISA000491,DUD100368,Work Visa,2025-05-12,,Eligible,Verified
VISA000492,DUD100369,Permanent Resident,2022-07-29,,Eligible,Verified
VISA000493,DUD100370,Permanent Resident,2022-08-03,,Eligible,Verified
VISA000494,DUD100371,Spouse of Japanese National,2020-07-19,,Eligible,Verified
VISA000495,DUD100372,Spouse of Japanese National,2023-02-05,,Eligible,Verified
VISA000496,DUD100373,Permanent Resident,2023-02-13,,Eligible,Verified
VISA000497,DUD100374,Long-Term Resident,2023-08-30,,Eligible,Verified
VISA000498,DUD100375,Student Visa with Work Permission,2025-04-05,,Eligible,Verified
VISA000499,DUD100376,Permanent Resident,2022-01-08,,Eligible,Verified
VISA000500,DUD100377,Work Visa,2020-06-20,,Eligible,Verified
VISA000501,DUD100378,Work Visa,2020-09-02,,Eligible,Verified
VISA000502,DUD100379,Long-Term Resident,2024-05-30,,Eligible,Verified
VISA000503,DUD100380,Permanent Resident,2019-12-11,,Pending,Verified
VISA000504,DUD100381,Spouse of Japanese National,2021-09-30,,Eligible,Verified
VISA000505,DUD100382,Work Visa,2020-12-20,2022-08-08,Eligible,Verified
VISA000506,DUD100382,Permanent Resident,2022-08-09,,Eligible,Verified
VISA000507,DUD100383,Work Visa,2023-11-07,,Eligible,Verified
VISA000508,DUD100384,Work Visa,2022-09-04,,Eligible,Verified
VISA000509,DUD100385,Work Visa,2019-10-09,,Eligible,Verified
VISA000510,DUD100386,Work Visa,2025-11-30,,Eligible,Verified
VISA000511,DUD100387,Permanent Resident,2019-11-26,,Eligible,Verified
VISA000512,DUD100388,Work Visa,2020-11-15,,Eligible,Verified
VISA000513,DUD100389,Work Visa,2020-05-17,,Eligible,Verified
VISA000514,DUD100390,Work Visa,2023-10-13,,Eligible,Verified
VISA000515,DUD100391,Work Visa,2023-12-01,,Eligible,Verified
VISA000516,DUD100392,Spouse of Japanese National,2024-09-17,,Eligible,Verified
VISA000517,DUD100393,Work Visa,2021-07-27,,Eligible,Verified
VISA000518,DUD100394,Work Visa,2023-03-08,,Eligible,Verified
VISA000519,DUD100395,Dependent Visa with Work Permission,2021-06-05,,Eligible,Verified
VISA000520,DUD100396,Work Visa,2024-05-01,,Eligible,Verified
VISA000521,DUD100397,Work Visa,2025-12-10,,Eligible,Verified
VISA000522,DUD100398,Other Work-Eligible Status,2021-09-22,,Eligible,Verified
VISA000523,DUD100399,Spouse of Japanese National,2022-04-15,,Eligible,Verified
VISA000524,DUD100400,Work Visa,2026-01-11,,Eligible,Verified
VISA000525,DUD100401,Work Visa,2022-05-18,,Eligible,Verified
VISA000526,DUD100402,Spouse of Japanese National,2019-09-30,,Eligible,Verified
VISA000527,DUD100403,Work Visa,2023-11-21,,Eligible,Verified
VISA000528,DUD100404,Work Visa,2019-07-23,,Eligible,Verified
VISA000529,DUD100405,Student Visa with Work Permission,2023-01-09,,Eligible,Verified
VISA000530,DUD100406,Work Visa,2025-02-06,,Eligible,Verified
VISA000531,DUD100407,Work Visa,2025-08-05,,Eligible,Verified
VISA000532,DUD100408,Work Visa,2022-11-14,,Eligible,Verified
VISA000533,DUD100409,Work Visa,2025-04-19,,Eligible,Verified
VISA000534,DUD100410,Student Visa with Work Permission,2020-02-13,,Eligible,Verified
VISA000535,DUD100411,Other Work-Eligible Status,2023-12-30,,Eligible,Verified
VISA000536,DUD100412,Work Visa,2025-04-06,,Eligible,Verified
VISA000537,DUD100413,Work Visa,2019-10-15,,Eligible,Verified
VISA000538,DUD100414,Work Visa,2021-01-27,,Eligible,Verified
VISA000539,DUD100415,Long-Term Resident,2020-12-07,,Eligible,Verified
VISA000540,DUD100416,Spouse of Japanese National,2025-06-01,,Eligible,Verified
VISA000541,DUD100417,Spouse of Japanese National,2024-09-10,,Eligible,Verified
VISA000542,DUD100418,Spouse of Japanese National,2026-02-13,,Eligible,Verified
VISA000543,DUD100419,Student Visa with Work Permission,2025-01-07,,Eligible,Verified
VISA000544,DUD100420,Student Visa with Work Permission,2023-02-22,,Eligible,Verified
VISA000545,DUD100421,Long-Term Resident,2023-11-26,,Eligible,Verified
VISA000546,DUD100422,Other Work-Eligible Status,2023-11-23,,Eligible,Verified
VISA000547,DUD100423,Permanent Resident,2022-09-14,,Eligible,Verified
VISA000548,DUD100424,Spouse of Japanese National,2022-07-05,,Eligible,Verified
VISA000549,DUD100425,Permanent Resident,2022-03-12,,Eligible,Verified
VISA000550,DUD100426,Permanent Resident,2020-10-17,,Eligible,Verified
VISA000551,DUD100427,Long-Term Resident,2021-05-14,,Eligible,Verified
VISA000552,DUD100428,Work Visa,2020-11-09,,Eligible,Verified
VISA000553,DUD100429,Work Visa,2025-07-25,,Eligible,Verified
VISA000554,DUD100430,Work Visa,2022-10-20,,Eligible,Verified
VISA000555,DUD100431,Work Visa,2020-11-26,,Eligible,Verified
VISA000556,DUD100432,Spouse of Japanese National,2020-06-16,,Eligible,Verified
VISA000557,DUD100433,Work Visa,2021-07-03,,Eligible,Verified
VISA000558,DUD100434,Work Visa,2025-10-18,,Eligible,Verified
VISA000559,DUD100435,Long-Term Resident,2024-08-07,,Eligible,Verified
VISA000560,DUD100436,Work Visa,2022-10-12,,Eligible,Verified
VISA000561,DUD100437,Permanent Resident,2022-10-20,,Eligible,Verified
VISA000562,DUD100438,Other Work-Eligible Status,2019-06-13,,Eligible,Verified
VISA000563,DUD100439,Permanent Resident,2021-02-22,,Eligible,Verified
VISA000564,DUD100440,Spouse of Japanese National,2025-12-04,,Eligible,Verified
VISA000565,DUD100441,Work Visa,2020-12-18,2025-01-20,Eligible,Verified
VISA000566,DUD100441,Spouse of Japanese National,2025-01-21,,Eligible,Verified
VISA000567,DUD100442,Work Visa,2021-04-15,2024-01-09,Eligible,Verified
VISA000568,DUD100442,Spouse of Japanese National,2024-01-10,,Eligible,Verified
VISA000569,DUD100443,Work Visa,2025-05-10,,Eligible,Verified
VISA000570,DUD100444,Work Visa,2021-04-11,,Eligible,Verified
VISA000571,DUD100445,Work Visa,2024-10-21,,Eligible,Verified
VISA000572,DUD100446,Work Visa,2023-04-08,,Eligible,Verified
VISA000573,DUD100447,Work Visa,2024-01-29,,Eligible,Verified
VISA000574,DUD100448,Work Visa,2021-02-24,,Eligible,Verified
VISA000575,DUD100449,Permanent Resident,2023-07-14,,Eligible,Verified
VISA000576,DUD100450,Spouse of Japanese National,2022-08-20,,Eligible,Verified
VISA000577,DUD100451,Work Visa,2020-05-03,,Eligible,Verified
VISA000578,DUD100452,Spouse of Japanese National,2024-12-22,,Eligible,Verified
VISA000579,DUD100453,Work Visa,2019-07-06,2024-01-10,Eligible,Verified
VISA000580,DUD100453,Long-Term Resident,2024-01-11,,Eligible,Verified
VISA000581,DUD100454,Work Visa,2019-12-18,2021-09-07,Eligible,Verified
VISA000582,DUD100454,Spouse of Japanese National,2021-09-08,,Eligible,Verified
VISA000583,DUD100455,Work Visa,2022-04-24,,Eligible,Verified
VISA000584,DUD100456,Other Work-Eligible Status,2025-07-24,,Eligible,Verified
VISA000585,DUD100457,Work Visa,2019-10-20,,Eligible,Verified
VISA000586,DUD100458,Other Work-Eligible Status,2023-10-12,,Eligible,Verified
VISA000587,DUD100459,Other Work-Eligible Status,2022-10-15,,Eligible,Verified
VISA000588,DUD100460,Work Visa,2019-12-01,,Eligible,Verified
VISA000589,DUD100461,Permanent Resident,2023-06-11,,Eligible,Verified
VISA000590,DUD100462,Permanent Resident,2022-10-08,,Eligible,Verified
VISA000591,DUD100463,Work Visa,2021-11-29,,Pending,Verified
VISA000592,DUD100464,Spouse of Japanese National,2023-01-14,,Eligible,Verified
VISA000593,DUD100465,Permanent Resident,2024-05-22,,Eligible,Verified
VISA000594,DUD100466,Work Visa,2021-01-13,,Eligible,Verified
VISA000595,DUD100467,Long-Term Resident,2022-12-27,,Eligible,Verified
VISA000596,DUD100468,Dependent Visa with Work Permission,2021-11-21,,Pending,Verified
VISA000597,DUD100469,Work Visa,2025-08-13,,Eligible,Verified
VISA000598,DUD100470,Work Visa,2020-09-28,,Eligible,Verified
VISA000599,DUD100471,Spouse of Japanese National,2024-05-20,,Eligible,Verified
VISA000600,DUD100472,Work Visa,2024-01-21,,Eligible,Verified
VISA000601,DUD100473,Spouse of Japanese National,2019-10-04,,Eligible,Verified
VISA000602,DUD100474,Work Visa,2023-02-16,2024-04-21,Eligible,Verified
VISA000603,DUD100474,Permanent Resident,2024-04-22,,Eligible,Verified
VISA000604,DUD100475,Permanent Resident,2024-02-04,,Eligible,Verified
VISA000605,DUD100476,Work Visa,2024-03-08,,Pending,Verified
VISA000606,DUD100477,Work Visa,2023-04-22,,Eligible,Verified
VISA000607,DUD100478,Permanent Resident,2022-05-10,,Eligible,Verified
VISA000608,DUD100479,Work Visa,2022-12-07,,Eligible,Verified
VISA000609,DUD100480,Permanent Resident,2022-04-27,,Eligible,Verified
VISA000610,DUD100481,Work Visa,2020-02-01,2024-01-08,Eligible,Verified
VISA000611,DUD100481,Spouse of Japanese National,2024-01-09,,Eligible,Verified
VISA000612,DUD100482,Work Visa,2020-12-25,,Pending,Verified
VISA000613,DUD100483,Work Visa,2023-08-22,,Eligible,Verified
VISA000614,DUD100484,Other Work-Eligible Status,2024-07-02,,Eligible,Verified
VISA000615,DUD100485,Work Visa,2020-09-26,,Eligible,Verified
VISA000616,DUD100486,Work Visa,2025-09-10,,Eligible,Verified
VISA000617,DUD100487,Work Visa,2019-10-05,,Eligible,Verified
VISA000618,DUD100488,Dependent Visa with Work Permission,2026-01-16,,Eligible,Verified
VISA000619,DUD100489,Permanent Resident,2026-01-22,,Eligible,Verified
VISA000620,DUD100490,Other Work-Eligible Status,2019-06-27,,Eligible,Verified
VISA000621,DUD100491,Long-Term Resident,2021-01-07,,Eligible,Verified
VISA000622,DUD100492,Spouse of Japanese National,2024-02-15,,Eligible,Verified
VISA000623,DUD100493,Work Visa,2024-09-26,,Eligible,Verified
VISA000624,DUD100494,Permanent Resident,2023-03-05,,Eligible,Verified
VISA000625,DUD100495,Spouse of Japanese National,2024-07-05,,Eligible,Verified
VISA000626,DUD100496,Work Visa,2020-04-09,,Eligible,Verified
VISA000627,DUD100497,Work Visa,2022-03-15,,Eligible,Verified
VISA000628,DUD100498,Work Visa,2022-03-02,,Eligible,Verified
VISA000629,DUD100499,Work Visa,2020-07-02,,Eligible,Verified
VISA000630,DUD100500,Work Visa,2024-04-06,,Eligible,Verified
VISA000631,DUD100501,Work Visa,2023-12-22,,Eligible,Verified
VISA000632,DUD100502,Long-Term Resident,2022-01-04,,Eligible,Verified
VISA000633,DUD100503,Spouse of Japanese National,2019-06-02,,Eligible,Verified
VISA000634,DUD100504,Work Visa,2019-12-13,,Eligible,Verified
VISA000635,DUD100505,Work Visa,2023-10-25,,Eligible,Verified
VISA000636,DUD100506,Other Work-Eligible Status,2023-09-07,,Eligible,Verified
VISA000637,DUD100507,Spouse of Japanese National,2025-05-08,,Eligible,Verified
VISA000638,DUD100508,Work Visa,2019-11-06,,Eligible,Verified
VISA000639,DUD100509,Work Visa,2025-04-20,,Eligible,Verified
VISA000640,DUD100510,Permanent Resident,2021-06-23,,Eligible,Verified
VISA000641,DUD100511,Work Visa,2025-03-07,,Eligible,Verified
VISA000642,DUD100512,Spouse of Japanese National,2023-12-29,,Eligible,Verified
VISA000643,DUD100513,Work Visa,2023-06-20,,Eligible,Verified
VISA000644,DUD100514,Work Visa,2024-09-11,,Eligible,Verified
VISA000645,DUD100515,Permanent Resident,2023-03-01,,Eligible,Verified
VISA000646,DUD100516,Work Visa,2024-12-17,,Eligible,Verified
VISA000647,DUD100517,Permanent Resident,2023-09-16,,Eligible,Verified
VISA000648,DUD100518,Work Visa,2025-07-11,,Pending,Verified
VISA000649,DUD100519,Other Work-Eligible Status,2019-06-25,,Eligible,Verified
VISA000650,DUD100520,Work Visa,2021-04-22,,Eligible,Verified
VISA000651,DUD100521,Work Visa,2023-11-15,,Eligible,Verified
VISA000652,DUD100522,Work Visa,2020-08-09,2023-12-13,Eligible,Verified
VISA000653,DUD100522,Spouse of Japanese National,2023-12-14,,Eligible,Verified
VISA000654,DUD100523,Other Work-Eligible Status,2024-09-04,,Eligible,Verified
VISA000655,DUD100524,Permanent Resident,2020-04-05,,Eligible,Verified
VISA000656,DUD100525,Dependent Visa with Work Permission,2019-05-01,,Eligible,Verified
VISA000657,DUD100526,Work Visa,2021-09-06,,Pending,Verified
VISA000658,DUD100527,Work Visa,2022-06-16,,Eligible,Verified
VISA000659,DUD100528,Work Visa,2022-11-18,,Eligible,Verified
VISA000660,DUD100529,Long-Term Resident,2024-10-17,,Eligible,Verified
VISA000661,DUD100530,Permanent Resident,2023-07-16,,Eligible,Verified
VISA000662,DUD100531,Work Visa,2022-06-16,,Eligible,Verified
VISA000663,DUD100532,Long-Term Resident,2026-01-22,,Eligible,Verified
VISA000664,DUD100533,Work Visa,2026-01-21,,Eligible,Verified
VISA000665,DUD100534,Work Visa,2019-07-26,,Eligible,Verified
VISA000666,DUD100535,Spouse of Japanese National,2022-04-30,,Eligible,Verified
VISA000667,DUD100536,Spouse of Japanese National,2023-01-02,,Eligible,Verified
VISA000668,DUD100537,Work Visa,2020-05-01,,Eligible,Verified
VISA000669,DUD100538,Long-Term Resident,2025-02-21,,Eligible,Verified
VISA000670,DUD100539,Spouse of Japanese National,2023-07-04,,Eligible,Verified
VISA000671,DUD100540,Work Visa,2022-08-17,,Eligible,Verified
VISA000672,DUD100541,Work Visa,2023-02-10,,Eligible,Verified
VISA000673,DUD100542,Work Visa,2020-09-18,,Eligible,Verified
VISA000674,DUD100543,Work Visa,2023-04-14,,Eligible,Verified
VISA000675,DUD100544,Work Visa,2025-01-02,,Eligible,Verified
VISA000676,DUD100545,Other Work-Eligible Status,2023-01-13,,Eligible,Verified
VISA000677,DUD100546,Student Visa with Work Permission,2019-05-06,,Eligible,Verified
VISA000678,DUD100547,Spouse of Japanese National,2020-02-08,,Eligible,Verified
VISA000679,DUD100548,Permanent Resident,2022-04-01,,Eligible,Verified
VISA000680,DUD100549,Other Work-Eligible Status,2020-07-08,,Eligible,Verified
VISA000681,DUD100550,Work Visa,2021-06-11,,Eligible,Verified
VISA000682,DUD100551,Permanent Resident,2022-12-10,,Eligible,Verified
VISA000683,DUD100552,Spouse of Japanese National,2023-08-31,,Eligible,Verified
VISA000684,DUD100553,Long-Term Resident,2025-10-18,,Eligible,Verified
VISA000685,DUD100554,Long-Term Resident,2025-09-01,,Eligible,Verified
VISA000686,DUD100555,Work Visa,2023-01-20,,Eligible,Verified
VISA000687,DUD100556,Other Work-Eligible Status,2020-03-12,,Eligible,Verified
VISA000688,DUD100557,Permanent Resident,2022-12-17,,Eligible,Verified
VISA000689,DUD100558,Long-Term Resident,2023-03-15,,Eligible,Verified
VISA000690,DUD100559,Permanent Resident,2025-01-29,,Eligible,Verified
VISA000691,DUD100560,Long-Term Resident,2025-07-05,,Eligible,Verified
VISA000692,DUD100561,Permanent Resident,2024-01-29,,Eligible,Verified
VISA000693,DUD100562,Other Work-Eligible Status,2026-02-01,,Eligible,Verified
VISA000694,DUD100563,Permanent Resident,2024-05-13,,Eligible,Verified
VISA000695,DUD100564,Other Work-Eligible Status,2022-06-12,,Eligible,Verified
VISA000696,DUD100565,Work Visa,2020-07-01,,Eligible,Verified
VISA000697,DUD100566,Permanent Resident,2026-01-24,,Eligible,Verified
VISA000698,DUD100567,Work Visa,2023-10-11,,Eligible,Verified
VISA000699,DUD100568,Work Visa,2022-08-13,,Eligible,Verified
VISA000700,DUD100569,Long-Term Resident,2019-10-03,,Eligible,Verified
VISA000701,DUD100570,Long-Term Resident,2020-03-03,,Eligible,Verified
VISA000702,DUD100571,Work Visa,2023-10-19,2024-12-12,Eligible,Verified
VISA000703,DUD100571,Permanent Resident,2024-12-13,,Eligible,Verified
VISA000704,DUD100572,Spouse of Japanese National,2024-03-01,,Eligible,Verified
VISA000705,DUD100573,Long-Term Resident,2019-06-06,,Eligible,Verified
VISA000706,DUD100574,Permanent Resident,2020-06-07,,Eligible,Verified
VISA000707,DUD100575,Dependent Visa with Work Permission,2019-07-24,,Eligible,Verified
VISA000708,DUD100576,Student Visa with Work Permission,2021-06-04,,Eligible,Verified
VISA000709,DUD100577,Other Work-Eligible Status,2021-09-02,,Eligible,Verified
VISA000710,DUD100578,Permanent Resident,2025-04-30,,Eligible,Verified
VISA000711,DUD100579,Work Visa,2022-11-20,,Eligible,Verified
VISA000712,DUD100580,Other Work-Eligible Status,2020-08-30,,Eligible,Verified
VISA000713,DUD100581,Spouse of Japanese National,2021-12-30,,Eligible,Verified
VISA000714,DUD100582,Spouse of Japanese National,2022-07-19,,Eligible,Verified
VISA000715,DUD100583,Permanent Resident,2026-02-20,,Eligible,Verified
VISA000716,DUD100584,Work Visa,2020-08-29,,Eligible,Verified
VISA000717,DUD100585,Work Visa,2021-04-11,,Eligible,Verified
VISA000718,DUD100586,Permanent Resident,2024-12-18,,Eligible,Verified
VISA000719,DUD100587,Work Visa,2021-03-28,,Eligible,Verified
VISA000720,DUD100588,Work Visa,2019-04-18,2020-10-11,Eligible,Verified
VISA000721,DUD100588,Spouse of Japanese National,2020-10-12,,Eligible,Verified
VISA000722,DUD100589,Work Visa,2019-10-06,2022-09-04,Eligible,Verified
VISA000723,DUD100589,Permanent Resident,2022-09-05,,Eligible,Verified
VISA000724,DUD100590,Work Visa,2024-01-24,,Eligible,Verified
VISA000725,DUD100591,Permanent Resident,2020-12-02,,Eligible,Verified
VISA000726,DUD100592,Work Visa,2021-06-10,,Eligible,Verified
VISA000727,DUD100593,Permanent Resident,2025-09-25,,Eligible,Verified
VISA000728,DUD100594,Work Visa,2020-02-05,,Eligible,Verified
VISA000729,DUD100595,Dependent Visa with Work Permission,2024-05-07,,Eligible,Verified
VISA000730,DUD100596,Work Visa,2022-07-16,,Eligible,Verified
VISA000731,DUD100597,Student Visa with Work Permission,2019-05-21,,Eligible,Verified
VISA000732,DUD100598,Permanent Resident,2024-08-14,,Eligible,Verified
VISA000733,DUD100599,Work Visa,2023-04-25,,Eligible,Verified
VISA000734,DUD100600,Student Visa with Work Permission,2022-01-24,,Eligible,Verified
VISA000735,DUD100601,Work Visa,2023-05-12,,Eligible,Verified
VISA000736,DUD100602,Permanent Resident,2024-08-23,,Eligible,Verified
VISA000737,DUD100603,Permanent Resident,2020-09-20,,Eligible,Verified
VISA000738,DUD100604,Dependent Visa with Work Permission,2021-08-19,,Eligible,Verified
VISA000739,DUD100605,Spouse of Japanese National,2024-09-01,,Eligible,Verified
VISA000740,DUD100606,Work Visa,2025-12-27,,Eligible,Verified
VISA000741,DUD100607,Other Work-Eligible Status,2020-07-26,,Eligible,Verified
VISA000742,DUD100608,Spouse of Japanese National,2019-12-28,,Eligible,Verified
VISA000743,DUD100609,Long-Term Resident,2025-05-10,,Eligible,Verified
VISA000744,DUD100610,Long-Term Resident,2019-09-07,,Eligible,Verified
VISA000745,DUD100611,Other Work-Eligible Status,2022-12-29,,Eligible,Verified
VISA000746,DUD100612,Work Visa,2021-01-12,,Eligible,Verified
