onboarding_id,employee_id,onboarding_start_date,onboarding_end_date,onboarding_type,onboarding_method,duration_days,completion_status,result,onboarding_satisfaction,notes
ONB000245,DUD100245,2023-03-29,2023-04-18,Experienced Teacher Onboarding,In-person,20,Completed,Passed,5,
ONB000246,DUD100246,2024-10-02,2024-10-12,Rehire Onboarding,Hybrid,10,Delayed,Satisfactory,2,
ONB000247,DUD100247,2024-11-20,2024-12-02,Rehire Onboarding,Online,12,Completed,Passed,3,
ONB000248,DUD100248,2022-04-25,2022-05-02,Rehire Onboarding,In-person,7,Delayed,Passed,5,
ONB000249,DUD100249,2024-09-30,2024-10-11,Standard Teacher Onboarding,In-person,11,Completed,Passed,1,
ONB000250,DUD100250,2023-05-02,,Rehire Onboarding,Online,8,Incomplete,Incomplete,,
ONB000251,DUD100251,2021-05-26,2021-06-09,Standard Teacher Onboarding,Hybrid,14,Completed,Satisfactory,5,
ONB000252,DUD100252,2024-02-05,2024-02-13,Standard Teacher Onboarding,Online,8,Delayed,Satisfactory,4,
ONB000253,DUD100253,2024-12-25,,Rehire Onboarding,Hybrid,21,Incomplete,Incomplete,,
ONB000254,DUD100254,2023-04-14,,Rehire Onboarding,Hybrid,16,Incomplete,Incomplete,,
ONB000255,DUD100255,2022-01-18,2022-02-05,Standard Teacher Onboarding,Hybrid,18,Completed,Passed,5,
ONB000256,DUD100256,2024-02-13,2024-02-27,Rehire Onboarding,Online,14,Delayed,Satisfactory,2,
ONB000257,DUD100257,2026-05-21,2026-06-10,Experienced Teacher Onboarding,Online,20,Completed,Needs Improvement,3,
ONB000258,DUD100258,2022-07-25,2022-08-10,Experienced Teacher Onboarding,Online,16,Completed,Satisfactory,1,
ONB000259,DUD100259,2023-02-28,2023-03-16,Rehire Onboarding,In-person,16,Delayed,Needs Improvement,4,
ONB000260,DUD100260,2022-02-08,2022-02-26,Standard Teacher Onboarding,Hybrid,18,Completed,Needs Improvement,1,
ONB000261,DUD100261,2026-06-23,2026-07-13,Experienced Teacher Onboarding,Hybrid,20,Delayed,Satisfactory,3,
ONB000262,DUD100262,2022-02-04,2022-02-17,Standard Teacher Onboarding,Hybrid,13,Delayed,Passed,3,
ONB000263,DUD100263,2026-07-05,2026-07-21,Experienced Teacher Onboarding,Hybrid,16,Completed,Passed,5,
ONB000264,DUD100264,2021-06-25,2021-07-16,Standard Teacher Onboarding,Online,21,Completed,Satisfactory,4,
ONB000265,DUD100265,2022-05-30,2022-06-11,Rehire Onboarding,Hybrid,12,Completed,Needs Improvement,5,
ONB000266,DUD100266,2021-02-26,,Rehire Onboarding,In-person,20,Incomplete,Incomplete,,
ONB000267,DUD100267,2025-07-25,,Rehire Onboarding,Hybrid,11,Incomplete,Incomplete,,
ONB000268,DUD100268,2023-12-10,2023-12-27,Standard Teacher Onboarding,Online,17,Delayed,Passed,3,
ONB000269,DUD100269,2021-04-01,2021-04-19,Standard Teacher Onboarding,In-person,18,Completed,Satisfactory,5,
ONB000270,DUD100270,2025-12-13,2025-12-26,Experienced Teacher Onboarding,Online,13,Completed,Satisfactory,3,
ONB000271,DUD100271,2026-06-05,2026-06-15,Experienced Teacher Onboarding,Hybrid,10,Completed,Satisfactory,1,
ONB000272,DUD100272,2021-05-30,2021-06-17,Standard Teacher Onboarding,Online,18,Completed,Needs Improvement,5,
ONB000273,DUD100273,2024-06-25,,Rehire Onboarding,Online,19,Incomplete,Incomplete,,
ONB000274,DUD100274,2023-08-29,2023-09-07,Standard Teacher Onboarding,Online,9,Completed,Passed,2,
ONB000275,DUD100275,2021-06-06,2021-06-25,Rehire Onboarding,In-person,19,Completed,Passed,4,
ONB000276,DUD100276,2022-08-21,2022-09-08,Standard Teacher Onboarding,In-person,18,Completed,Needs Improvement,1,
ONB000277,DUD100277,2022-04-28,2022-05-09,Experienced Teacher Onboarding,In-person,11,Completed,Satisfactory,4,
ONB000278,DUD100278,2025-07-03,,Standard Teacher Onboarding,In-person,20,Incomplete,Incomplete,,
ONB000279,DUD100279,2021-11-04,2021-11-24,Standard Teacher Onboarding,Online,20,Completed,Passed,4,
ONB000280,DUD100280,2025-01-14,2025-01-25,Experienced Teacher Onboarding,Online,11,Completed,Needs Improvement,4,
ONB000281,DUD100281,2023-08-21,2023-09-08,Rehire Onboarding,Online,18,Delayed,Needs Improvement,5,
ONB000282,DUD100282,2023-01-03,,Experienced Teacher Onboarding,Online,20,Incomplete,Incomplete,,
ONB000283,DUD100283,2025-10-14,2025-11-01,Rehire Onboarding,Hybrid,18,Completed,Satisfactory,4,
ONB000284,DUD100284,2025-11-11,2025-11-29,Experienced Teacher Onboarding,Hybrid,18,Completed,Passed,1,
ONB000285,DUD100285,2024-07-28,2024-08-09,Standard Teacher Onboarding,Hybrid,12,Completed,Satisfactory,1,
ONB000286,DUD100286,2024-07-31,2024-08-17,Experienced Teacher Onboarding,In-person,17,Delayed,Passed,3,
ONB000287,DUD100287,2023-03-29,,Experienced Teacher Onboarding,Online,20,Incomplete,Incomplete,,
ONB000288,DUD100288,2022-03-31,2022-04-13,Experienced Teacher Onboarding,Hybrid,13,Completed,Satisfactory,3,
ONB000289,DUD100289,2022-03-20,2022-04-01,Standard Teacher Onboarding,In-person,12,Delayed,Satisfactory,3,
ONB000290,DUD100290,2021-02-11,2021-02-19,Standard Teacher Onboarding,Hybrid,8,Completed,Passed,5,
ONB000291,DUD100291,2024-02-04,2024-02-23,Standard Teacher Onboarding,In-person,19,Completed,Needs Improvement,4,
ONB000292,DUD100292,2026-06-09,,Experienced Teacher Onboarding,Hybrid,18,Incomplete,Incomplete,,
ONB000293,DUD100293,2024-09-23,,Experienced Teacher Onboarding,In-person,21,Incomplete,Incomplete,,
ONB000294,DUD100294,2024-05-27,2024-06-16,Standard Teacher Onboarding,Online,20,Delayed,Satisfactory,4,
ONB000295,DUD100295,2021-10-12,2021-10-21,Standard Teacher Onboarding,Online,9,Completed,Passed,5,
ONB000296,DUD100296,2023-03-15,2023-03-28,Rehire Onboarding,In-person,13,Completed,Needs Improvement,4,
ONB000297,DUD100297,2025-07-12,2025-07-21,Standard Teacher Onboarding,In-person,9,Completed,Passed,4,
ONB000298,DUD100298,2023-07-03,2023-07-14,Standard Teacher Onboarding,In-person,11,Completed,Satisfactory,2,
ONB000299,DUD100299,2022-03-16,2022-04-01,Standard Teacher Onboarding,Hybrid,16,Completed,Passed,2,
ONB000300,DUD100300,2021-07-08,2021-07-23,Experienced Teacher Onboarding,Hybrid,15,Completed,Passed,5,
ONB000301,DUD100301,2026-01-27,2026-02-13,Experienced Teacher Onboarding,In-person,17,Completed,Satisfactory,3,
ONB000302,DUD100302,2025-12-09,2025-12-21,Experienced Teacher Onboarding,Hybrid,12,Completed,Satisfactory,3,
ONB000303,DUD100303,2024-01-04,2024-01-13,Rehire Onboarding,Online,9,Completed,Passed,2,
ONB000304,DUD100304,2023-06-30,2023-07-08,Experienced Teacher Onboarding,In-person,8,Completed,Needs Improvement,4,
ONB000305,DUD100305,2022-02-23,,Experienced Teacher Onboarding,Hybrid,16,Incomplete,Incomplete,,
ONB000306,DUD100306,2024-05-19,2024-06-08,Rehire Onboarding,In-person,20,Completed,Needs Improvement,1,
ONB000307,DUD100307,2022-03-11,2022-03-30,Rehire Onboarding,Online,19,Completed,Passed,4,
ONB000308,DUD100308,2022-05-23,2022-06-02,Rehire Onboarding,In-person,10,Completed,Passed,4,
ONB000309,DUD100309,2022-07-13,2022-07-23,Experienced Teacher Onboarding,In-person,10,Delayed,Passed,5,
ONB000310,DUD100310,2021-06-25,2021-07-12,Standard Teacher Onboarding,Online,17,Completed,Needs Improvement,1,
ONB000311,DUD100311,2024-07-31,2024-08-20,Standard Teacher Onboarding,In-person,20,Completed,Passed,2,
ONB000312,DUD100312,2021-04-24,2021-05-01,Standard Teacher Onboarding,Hybrid,7,Delayed,Satisfactory,4,
ONB000313,DUD100313,2021-01-06,2021-01-17,Rehire Onboarding,Hybrid,11,Delayed,Passed,4,
ONB000314,DUD100314,2025-09-18,,Rehire Onboarding,Hybrid,19,Incomplete,Incomplete,,
ONB000315,DUD100315,2024-06-01,2024-06-14,Standard Teacher Onboarding,Hybrid,13,Completed,Passed,5,
ONB000316,DUD100316,2022-12-07,,Experienced Teacher Onboarding,Hybrid,12,Incomplete,Incomplete,,
ONB000317,DUD100317,2023-03-02,2023-03-09,Rehire Onboarding,Online,7,Completed,Needs Improvement,3,
ONB000318,DUD100318,2024-10-12,2024-10-23,Standard Teacher Onboarding,Hybrid,11,Delayed,Passed,3,
ONB000319,DUD100319,2025-11-11,2025-11-26,Experienced Teacher Onboarding,In-person,15,Completed,Satisfactory,3,
ONB000320,DUD100320,2023-05-10,2023-05-29,Experienced Teacher Onboarding,Hybrid,19,Completed,Passed,4,
ONB000321,DUD100321,2021-04-29,2021-05-14,Experienced Teacher Onboarding,Hybrid,15,Completed,Passed,3,
ONB000322,DUD100322,2021-07-16,2021-07-25,Rehire Onboarding,Online,9,Delayed,Needs Improvement,1,
ONB000323,DUD100323,2026-04-20,2026-05-11,Rehire Onboarding,Online,21,Delayed,Satisfactory,4,
ONB000324,DUD100324,2021-11-03,2021-11-17,Experienced Teacher Onboarding,Hybrid,14,Completed,Passed,2,
ONB000325,DUD100325,2023-03-30,,Rehire Onboarding,Hybrid,15,Incomplete,Incomplete,,
ONB000326,DUD100326,2024-03-23,2024-04-08,Experienced Teacher Onboarding,In-person,16,Delayed,Passed,3,
ONB000327,DUD100327,2024-09-23,2024-10-10,Rehire Onboarding,Online,17,Completed,Satisfactory,5,
ONB000328,DUD100328,2023-06-28,,Experienced Teacher Onboarding,In-person,14,Incomplete,Incomplete,,
ONB000329,DUD100329,2025-02-17,2025-03-10,Rehire Onboarding,In-person,21,Delayed,Satisfactory,5,
ONB000330,DUD100330,2021-01-21,,Standard Teacher Onboarding,Online,18,Incomplete,Incomplete,,
ONB000331,DUD100331,2025-04-28,,Standard Teacher Onboarding,Hybrid,19,Incomplete,Incomplete,,
ONB000332,DUD100332,2024-08-19,,Standard Teacher Onboarding,Online,17,Incomplete,Incomplete,,
ONB000333,DUD100333,2025-02-11,2025-02-22,Experienced Teacher Onboarding,Online,11,Completed,Passed,5,
ONB000334,DUD100334,2021-03-05,2021-03-12,Experienced Teacher Onboarding,In-person,7,Delayed,Passed,5,
ONB000335,DUD100335,2024-10-26,2024-11-05,Rehire Onboarding,Hybrid,10,Delayed,Needs Improvement,5,
ONB000336,DUD100336,2024-10-18,2024-10-26,Standard Teacher Onboarding,Hybrid,8,Completed,Satisfactory,3,
ONB000337,DUD100337,2023-01-10,2023-01-25,Standard Teacher Onboarding,Hybrid,15,Completed,Needs Improvement,4,
ONB000338,DUD100338,2026-03-19,2026-04-02,Experienced Teacher Onboarding,Hybrid,14,Completed,Passed,2,
ONB000339,DUD100339,2025-07-03,,Rehire Onboarding,Hybrid,7,Incomplete,Incomplete,,
ONB000340,DUD100340,2021-01-31,2021-02-17,Experienced Teacher Onboarding,Hybrid,17,Completed,Satisfactory,5,
ONB000341,DUD100341,2023-11-29,2023-12-19,Rehire Onboarding,Hybrid,20,Completed,Passed,1,
ONB000342,DUD100342,2021-06-07,2021-06-28,Standard Teacher Onboarding,Hybrid,21,Delayed,Needs Improvement,3,
ONB000343,DUD100343,2023-01-02,2023-01-14,Rehire Onboarding,In-person,12,Completed,Passed,2,
ONB000344,DUD100344,2024-09-23,2024-10-10,Standard Teacher Onboarding,In-person,17,Delayed,Passed,5,
ONB000345,DUD100345,2025-05-17,2025-06-07,Rehire Onboarding,Online,21,Completed,Passed,3,
ONB000346,DUD100346,2025-04-17,,Standard Teacher Onboarding,Hybrid,19,Incomplete,Incomplete,,
ONB000347,DUD100347,2026-04-24,2026-05-04,Rehire Onboarding,Hybrid,10,Completed,Passed,3,
ONB000348,DUD100348,2022-03-22,2022-03-31,Experienced Teacher Onboarding,In-person,9,Completed,Passed,1,
ONB000349,DUD100349,2021-07-01,2021-07-09,Rehire Onboarding,In-person,8,Delayed,Satisfactory,3,
ONB000350,DUD100350,2024-03-12,2024-04-02,Experienced Teacher Onboarding,Hybrid,21,Completed,Passed,1,
ONB000351,DUD100351,2021-05-31,,Experienced Teacher Onboarding,In-person,17,Incomplete,Incomplete,,
ONB000352,DUD100352,2021-06-21,,Standard Teacher Onboarding,Hybrid,10,Incomplete,Incomplete,,
ONB000353,DUD100353,2022-07-03,2022-07-10,Rehire Onboarding,In-person,7,Completed,Passed,5,
ONB000354,DUD100354,2023-03-23,2023-04-03,Standard Teacher Onboarding,In-person,11,Completed,Satisfactory,1,
ONB000355,DUD100355,2024-09-13,2024-09-22,Standard Teacher Onboarding,In-person,9,Completed,Needs Improvement,5,
ONB000356,DUD100356,2024-05-26,,Standard Teacher Onboarding,Hybrid,19,Incomplete,Incomplete,,
ONB000357,DUD100357,2024-10-12,,Experienced Teacher Onboarding,In-person,7,Incomplete,Incomplete,,
ONB000358,DUD100358,2023-12-12,2023-12-29,Experienced Teacher Onboarding,Hybrid,17,Completed,Passed,1,
ONB000359,DUD100359,2021-03-12,2021-03-28,Experienced Teacher Onboarding,In-person,16,Delayed,Passed,5,
ONB000360,DUD100360,2023-04-25,,Standard Teacher Onboarding,In-person,16,Incomplete,Incomplete,,
ONB000361,DUD100361,2026-05-08,2026-05-22,Standard Teacher Onboarding,In-person,14,Completed,Passed,4,
ONB000362,DUD100362,2021-06-12,2021-06-28,Experienced Teacher Onboarding,In-person,16,Completed,Passed,1,
ONB000363,DUD100363,2023-08-03,2023-08-20,Experienced Teacher Onboarding,In-person,17,Completed,Satisfactory,3,
ONB000364,DUD100364,2023-10-31,2023-11-11,Rehire Onboarding,Online,11,Delayed,Passed,4,
ONB000365,DUD100365,2026-03-27,2026-04-10,Rehire Onboarding,Hybrid,14,Completed,Needs Improvement,4,
ONB000366,DUD100366,2021-10-03,2021-10-18,Standard Teacher Onboarding,In-person,15,Delayed,Passed,5,
ONB000367,DUD100367,2022-06-19,2022-06-27,Rehire Onboarding,Hybrid,8,Completed,Satisfactory,2,
ONB000368,DUD100368,2022-12-22,2023-01-02,Standard Teacher Onboarding,In-person,11,Completed,Passed,1,
ONB000369,DUD100369,2026-05-29,2026-06-06,Standard Teacher Onboarding,In-person,8,Completed,Passed,2,
ONB000370,DUD100370,2024-12-27,2025-01-14,Rehire Onboarding,In-person,18,Completed,Passed,5,
ONB000371,DUD100371,2022-01-24,,Standard Teacher Onboarding,Online,11,Incomplete,Incomplete,,
ONB000372,DUD100372,2025-01-31,2025-02-12,Experienced Teacher Onboarding,In-person,12,Delayed,Needs Improvement,2,
ONB000373,DUD100373,2022-07-13,2022-08-03,Standard Teacher Onboarding,Online,21,Delayed,Passed,1,
ONB000374,DUD100374,2024-02-07,2024-02-25,Rehire Onboarding,Online,18,Completed,Satisfactory,5,
ONB000375,DUD100375,2022-02-09,2022-02-21,Experienced Teacher Onboarding,Online,12,Completed,Passed,5,
ONB000376,DUD100376,2024-12-02,2024-12-13,Experienced Teacher Onboarding,Online,11,Completed,Needs Improvement,4,
ONB000377,DUD100377,2023-06-07,2023-06-27,Experienced Teacher Onboarding,Online,20,Completed,Satisfactory,2,
ONB000378,DUD100378,2021-02-10,2021-03-03,Experienced Teacher Onboarding,Online,21,Completed,Passed,5,
ONB000379,DUD100379,2021-03-24,,Rehire Onboarding,In-person,18,Incomplete,Incomplete,,
ONB000380,DUD100380,2021-12-15,2021-12-23,Standard Teacher Onboarding,Hybrid,8,Completed,Passed,2,
ONB000381,DUD100381,2021-09-02,2021-09-19,Rehire Onboarding,Online,17,Completed,Satisfactory,4,
ONB000382,DUD100382,2024-12-18,,Rehire Onboarding,Hybrid,11,Incomplete,Incomplete,,
ONB000383,DUD100383,2025-09-16,2025-09-23,Standard Teacher Onboarding,Hybrid,7,Delayed,Needs Improvement,4,
ONB000384,DUD100384,2021-12-22,2022-01-05,Standard Teacher Onboarding,Online,14,Completed,Satisfactory,5,
ONB000385,DUD100385,2025-03-01,2025-03-21,Rehire Onboarding,In-person,20,Completed,Satisfactory,2,
ONB000386,DUD100386,2021-06-15,,Rehire Onboarding,Hybrid,18,Incomplete,Incomplete,,
ONB000387,DUD100387,2022-05-20,,Experienced Teacher Onboarding,Hybrid,7,Incomplete,Incomplete,,
ONB000388,DUD100388,2021-08-18,2021-09-01,Experienced Teacher Onboarding,Hybrid,14,Delayed,Satisfactory,1,
ONB000389,DUD100389,2026-07-08,2026-07-21,Experienced Teacher Onboarding,Online,13,Completed,Needs Improvement,2,
ONB000390,DUD100390,2021-07-23,,Rehire Onboarding,Online,15,Incomplete,Incomplete,,
ONB000391,DUD100391,2021-01-27,,Experienced Teacher Onboarding,Online,19,Incomplete,Incomplete,,
ONB000392,DUD100392,2021-12-29,2022-01-07,Experienced Teacher Onboarding,In-person,9,Completed,Needs Improvement,1,
ONB000393,DUD100393,2021-05-23,2021-06-04,Rehire Onboarding,In-person,12,Completed,Passed,2,
ONB000394,DUD100394,2024-08-18,,Standard Teacher Onboarding,In-person,21,Incomplete,Incomplete,,
ONB000395,DUD100395,2026-01-17,,Standard Teacher Onboarding,In-person,16,Incomplete,Incomplete,,
ONB000396,DUD100396,2026-04-29,2026-05-15,Experienced Teacher Onboarding,In-person,16,Delayed,Passed,3,
ONB000397,DUD100397,2023-01-07,2023-01-27,Experienced Teacher Onboarding,Hybrid,20,Completed,Passed,4,
ONB000398,DUD100398,2026-08-09,,Standard Teacher Onboarding,Hybrid,16,Incomplete,Incomplete,,
ONB000399,DUD100399,2025-07-14,,Experienced Teacher Onboarding,Hybrid,16,Incomplete,Incomplete,,
ONB000400,DUD100400,2026-02-08,2026-02-22,Experienced Teacher Onboarding,Hybrid,14,Completed,Passed,1,
ONB000401,DUD100401,2024-09-25,,Standard Teacher Onboarding,In-person,19,Incomplete,Incomplete,,
ONB000402,DUD100402,2025-02-22,2025-03-09,Standard Teacher Onboarding,Hybrid,15,Completed,Passed,4,
ONB000403,DUD100403,2025-09-29,2025-10-12,Standard Teacher Onboarding,Hybrid,13,Completed,Passed,3,
ONB000404,DUD100404,2021-05-10,2021-05-26,Experienced Teacher Onboarding,Online,16,Completed,Passed,3,
ONB000405,DUD100405,2022-04-20,2022-05-11,Standard Teacher Onboarding,Hybrid,21,Completed,Needs Improvement,5,
ONB000406,DUD100406,2022-07-09,2022-07-29,Experienced Teacher Onboarding,Hybrid,20,Completed,Passed,3,
ONB000407,DUD100407,2025-06-11,2025-06-21,Rehire Onboarding,Online,10,Completed,Passed,3,
ONB000408,DUD100408,2021-05-19,2021-06-08,Rehire Onboarding,Hybrid,20,Completed,Passed,1,
ONB000409,DUD100409,2026-04-08,2026-04-25,Rehire Onboarding,In-person,17,Completed,Satisfactory,2,
ONB000410,DUD100410,2023-01-15,2023-01-22,Rehire Onboarding,Online,7,Delayed,Passed,2,
ONB000411,DUD100411,2025-05-15,2025-06-03,Experienced Teacher Onboarding,Online,19,Completed,Satisfactory,1,
ONB000412,DUD100412,2026-04-01,2026-04-16,Standard Teacher Onboarding,In-person,15,Delayed,Passed,1,
ONB000413,DUD100413,2022-06-22,,Standard Teacher Onboarding,In-person,7,Incomplete,Incomplete,,
ONB000414,DUD100414,2026-04-11,,Rehire Onboarding,In-person,11,Incomplete,Incomplete,,
ONB000415,DUD100415,2022-01-12,2022-01-21,Rehire Onboarding,In-person,9,Completed,Passed,1,
ONB000416,DUD100416,2025-08-31,2025-09-20,Rehire Onboarding,In-person,20,Completed,Needs Improvement,3,
ONB000417,DUD100417,2022-11-12,,Experienced Teacher Onboarding,Hybrid,17,Incomplete,Incomplete,,
ONB000418,DUD100418,2024-05-16,2024-05-29,Experienced Teacher Onboarding,Online,13,Completed,Passed,2,
ONB000419,DUD100419,2023-02-28,,Standard Teacher Onboarding,Hybrid,14,Incomplete,Incomplete,,
ONB000420,DUD100420,2024-01-19,2024-02-09,Experienced Teacher Onboarding,Online,21,Completed,Needs Improvement,4,
ONB000421,DUD100421,2025-03-03,2025-03-20,Rehire Onboarding,Online,17,Completed,Passed,1,
ONB000422,DUD100422,2021-01-07,2021-01-25,Experienced Teacher Onboarding,Hybrid,18,Delayed,Satisfactory,2,
ONB000423,DUD100423,2022-11-22,2022-12-06,Standard Teacher Onboarding,Hybrid,14,Completed,Needs Improvement,2,
ONB000424,DUD100424,2023-03-08,,Standard Teacher Onboarding,In-person,15,Incomplete,Incomplete,,
ONB000425,DUD100425,2024-02-19,2024-03-04,Standard Teacher Onboarding,In-person,14,Completed,Passed,1,
ONB000426,DUD100426,2021-02-10,2021-03-01,Standard Teacher Onboarding,Hybrid,19,Delayed,Needs Improvement,1,
ONB000427,DUD100427,2021-10-09,2021-10-26,Rehire Onboarding,Online,17,Completed,Passed,4,
ONB000428,DUD100428,2021-10-27,2021-11-16,Experienced Teacher Onboarding,Hybrid,20,Delayed,Needs Improvement,1,
ONB000429,DUD100429,2025-11-13,,Experienced Teacher Onboarding,Online,7,Incomplete,Incomplete,,
ONB000430,DUD100430,2021-08-05,,Rehire Onboarding,Hybrid,9,Incomplete,Incomplete,,
ONB000431,DUD100431,2025-06-12,2025-06-29,Experienced Teacher Onboarding,Online,17,Delayed,Passed,3,
ONB000432,DUD100432,2021-05-24,,Experienced Teacher Onboarding,Hybrid,21,Incomplete,Incomplete,,
ONB000433,DUD100433,2024-10-19,2024-11-02,Experienced Teacher Onboarding,In-person,14,Completed,Passed,4,
ONB000434,DUD100434,2022-11-03,,Rehire Onboarding,In-person,21,Incomplete,Incomplete,,
ONB000435,DUD100435,2022-09-03,,Standard Teacher Onboarding,Online,17,Incomplete,Incomplete,,
ONB000436,DUD100436,2025-08-17,2025-08-25,Standard Teacher Onboarding,Hybrid,8,Completed,Passed,2,
ONB000437,DUD100437,2022-07-31,2022-08-08,Experienced Teacher Onboarding,In-person,8,Delayed,Needs Improvement,1,
ONB000438,DUD100438,2025-12-25,2026-01-04,Rehire Onboarding,Online,10,Completed,Satisfactory,5,
ONB000439,DUD100439,2021-06-11,,Standard Teacher Onboarding,In-person,12,Incomplete,Incomplete,,
ONB000440,DUD100440,2022-10-23,2022-11-06,Standard Teacher Onboarding,In-person,14,Completed,Needs Improvement,4,
ONB000441,DUD100441,2021-06-18,2021-07-08,Standard Teacher Onboarding,Hybrid,20,Delayed,Passed,3,
ONB000442,DUD100442,2026-02-23,,Rehire Onboarding,Hybrid,17,Incomplete,Incomplete,,
ONB000443,DUD100443,2024-07-12,2024-07-19,Rehire Onboarding,Hybrid,7,Completed,Passed,2,
ONB000444,DUD100444,2023-03-17,2023-03-27,Rehire Onboarding,In-person,10,Completed,Satisfactory,4,
ONB000445,DUD100445,2025-02-17,2025-02-25,Standard Teacher Onboarding,In-person,8,Completed,Satisfactory,5,
ONB000446,DUD100446,2022-08-18,2022-08-25,Rehire Onboarding,In-person,7,Delayed,Passed,3,
ONB000447,DUD100447,2024-07-08,,Standard Teacher Onboarding,Online,15,Incomplete,Incomplete,,
ONB000448,DUD100448,2026-06-09,,Experienced Teacher Onboarding,In-person,20,Incomplete,Incomplete,,
ONB000449,DUD100449,2023-04-08,2023-04-25,Experienced Teacher Onboarding,In-person,17,Delayed,Satisfactory,1,
ONB000450,DUD100450,2022-04-13,2022-04-24,Rehire Onboarding,Online,11,Completed,Needs Improvement,2,
ONB000451,DUD100451,2023-09-02,2023-09-23,Rehire Onboarding,Online,21,Completed,Passed,2,
ONB000452,DUD100452,2024-03-09,2024-03-23,Rehire Onboarding,Hybrid,14,Completed,Passed,3,
ONB000453,DUD100453,2024-12-08,2024-12-23,Rehire Onboarding,Hybrid,15,Completed,Passed,2,
ONB000454,DUD100454,2024-10-03,2024-10-18,Rehire Onboarding,Hybrid,15,Completed,Satisfactory,4,
ONB000455,DUD100455,2024-07-15,2024-07-23,Experienced Teacher Onboarding,Online,8,Completed,Passed,3,
ONB000456,DUD100456,2024-12-06,2024-12-14,Rehire Onboarding,Hybrid,8,Completed,Passed,2,
ONB000457,DUD100457,2023-09-24,2023-10-03,Rehire Onboarding,Online,9,Completed,Passed,5,
ONB000458,DUD100458,2022-02-08,2022-02-24,Rehire Onboarding,Hybrid,16,Completed,Needs Improvement,3,
ONB000459,DUD100459,2022-09-27,2022-10-18,Rehire Onboarding,In-person,21,Completed,Passed,3,
ONB000460,DUD100460,2022-08-26,2022-09-02,Rehire Onboarding,Hybrid,7,Completed,Passed,5,
ONB000461,DUD100461,2025-07-23,2025-08-02,Experienced Teacher Onboarding,Online,10,Delayed,Passed,4,
ONB000462,DUD100462,2025-07-30,,Experienced Teacher Onboarding,Hybrid,13,Incomplete,Incomplete,,
ONB000463,DUD100463,2025-07-20,2025-08-08,Standard Teacher Onboarding,Online,19,Completed,Passed,4,
ONB000464,DUD100464,2021-05-29,2021-06-12,Standard Teacher Onboarding,Online,14,Delayed,Satisfactory,1,
ONB000465,DUD100465,2026-04-18,,Rehire Onboarding,Online,7,Incomplete,Incomplete,,
ONB000466,DUD100466,2024-05-08,,Standard Teacher Onboarding,Hybrid,18,Incomplete,Incomplete,,
ONB000467,DUD100467,2021-12-29,2022-01-11,Rehire Onboarding,Hybrid,13,Completed,Passed,5,
ONB000468,DUD100468,2022-10-19,2022-11-04,Experienced Teacher Onboarding,Hybrid,16,Completed,Satisfactory,2,
ONB000469,DUD100469,2024-01-02,,Experienced Teacher Onboarding,Online,16,Incomplete,Incomplete,,
ONB000470,DUD100470,2022-09-27,,Rehire Onboarding,Hybrid,13,Incomplete,Incomplete,,
ONB000471,DUD100471,2023-05-04,,Rehire Onboarding,Hybrid,17,Incomplete,Incomplete,,
ONB000472,DUD100472,2025-01-25,2025-02-03,Experienced Teacher Onboarding,Online,9,Delayed,Needs Improvement,2,
ONB000473,DUD100473,2025-01-28,,Rehire Onboarding,In-person,8,Incomplete,Incomplete,,
ONB000474,DUD100474,2025-11-26,2025-12-08,Experienced Teacher Onboarding,Online,12,Completed,Passed,1,
ONB000475,DUD100475,2025-05-19,2025-05-29,Experienced Teacher Onboarding,Hybrid,10,Completed,Passed,3,
ONB000476,DUD100476,2025-05-26,2025-06-12,Rehire Onboarding,In-person,17,Completed,Needs Improvement,4,
ONB000477,DUD100477,2022-08-29,2022-09-12,Experienced Teacher Onboarding,Online,14,Completed,Passed,3,
ONB000478,DUD100478,2023-08-27,2023-09-12,Experienced Teacher Onboarding,Hybrid,16,Completed,Passed,5,
ONB000479,DUD100479,2022-07-14,2022-08-04,Rehire Onboarding,In-person,21,Delayed,Needs Improvement,3,
ONB000480,DUD100480,2025-02-01,,Experienced Teacher Onboarding,Online,21,Incomplete,Incomplete,,
ONB000481,DUD100481,2023-07-23,2023-08-12,Standard Teacher Onboarding,Hybrid,20,Completed,Needs Improvement,5,
ONB000482,DUD100482,2021-02-17,,Rehire Onboarding,In-person,8,Incomplete,Incomplete,,
ONB000483,DUD100483,2023-03-12,,Standard Teacher Onboarding,Online,9,Incomplete,Incomplete,,
ONB000484,DUD100484,2026-06-21,2026-07-10,Rehire Onboarding,In-person,19,Completed,Passed,5,
ONB000485,DUD100485,2023-07-19,2023-07-29,Standard Teacher Onboarding,Hybrid,10,Delayed,Needs Improvement,4,
ONB000486,DUD100486,2023-03-08,2023-03-17,Rehire Onboarding,Hybrid,9,Completed,Passed,1,
ONB000487,DUD100487,2022-05-13,2022-05-22,Standard Teacher Onboarding,In-person,9,Completed,Needs Improvement,2,
ONB000488,DUD100488,2021-03-14,2021-03-25,Experienced Teacher Onboarding,In-person,11,Delayed,Satisfactory,5,
ONB000489,DUD100489,2021-11-12,,Standard Teacher Onboarding,In-person,16,Incomplete,Incomplete,,
ONB000490,DUD100490,2022-11-05,2022-11-17,Standard Teacher Onboarding,Online,12,Completed,Passed,1,
