survey_id,employee_id,survey_date,overall_satisfaction,management_satisfaction,compensation_satisfaction,training_satisfaction,assignment_satisfaction,work_life_balance,career_satisfaction,commute_satisfaction,engagement_score,would_recommend,comments
SURV0001588,DUD100200,2024-02-02,5,5,4,5,5,4,5,4,5,True,
SURV0001589,DUD100200,2024-03-01,3,3,2,2,4,4,3,4,4,False,
SURV0001590,DUD100200,2024-04-15,4,5,4,5,4,3,4,4,4,True,
SURV0001591,DUD100200,2024-05-03,3,3,3,4,3,3,3,3,3,False,
SURV0001592,DUD100200,2024-06-08,4,4,3,4,3,4,4,3,4,True,
SURV0001593,DUD100200,2024-07-05,3,2,3,3,3,2,2,3,4,False,
SURV0001594,DUD100200,2024-08-20,4,4,3,4,4,4,4,4,3,True,
SURV0001595,DUD100201,2021-11-27,5,5,4,5,5,5,5,5,5,True,
SURV0001596,DUD100201,2021-12-22,4,4,5,4,4,5,3,3,3,True,
SURV0001597,DUD100201,2022-01-08,5,4,5,5,5,5,5,5,4,True,
SURV0001598,DUD100201,2022-02-06,5,5,5,5,5,5,4,5,5,True,
SURV0001599,DUD100201,2022-03-04,4,4,4,4,5,3,4,4,3,True,
SURV0001600,DUD100201,2022-04-03,5,5,4,4,4,4,5,5,4,True,
SURV0001601,DUD100201,2022-05-20,4,3,4,4,4,5,4,4,4,True,
SURV0001602,DUD100201,2022-06-01,5,5,4,5,5,5,5,5,4,True,
SURV0001603,DUD100202,2021-04-08,4,4,5,4,5,5,5,4,4,True,
SURV0001604,DUD100202,2021-05-18,1,1,1,1,1,1,1,1,1,False,
SURV0001605,DUD100202,2021-06-09,4,4,3,4,3,4,5,4,4,True,
SURV0001606,DUD100202,2021-07-12,4,4,3,3,3,4,5,4,3,True,
SURV0001607,DUD100202,2021-08-21,3,3,2,2,3,4,4,3,3,False,
SURV0001608,DUD100202,2021-09-19,2,2,2,2,1,1,3,2,2,False,
SURV0001609,DUD100203,2022-08-18,3,3,4,3,2,2,3,4,2,False,
SURV0001610,DUD100203,2022-09-02,4,4,4,4,5,4,4,3,4,True,
SURV0001611,DUD100203,2022-10-12,3,2,3,3,4,3,2,2,3,False,
SURV0001612,DUD100203,2022-11-09,3,3,3,2,3,3,3,2,3,False,
SURV0001613,DUD100203,2022-12-11,2,2,2,2,3,2,1,3,3,False,
SURV0001614,DUD100203,2023-01-21,4,5,4,3,4,4,3,4,3,True,
SURV0001615,DUD100203,2023-02-23,4,5,4,4,3,4,4,5,4,True,
SURV0001616,DUD100203,2023-03-22,1,1,1,2,2,2,1,1,1,False,
SURV0001617,DUD100203,2023-04-03,4,5,5,4,5,3,4,4,5,True,
SURV0001618,DUD100203,2023-05-10,4,5,3,5,5,4,5,4,5,True,
SURV0001619,DUD100204,2024-07-16,5,5,4,5,4,5,5,4,5,True,
SURV0001620,DUD100204,2024-08-11,4,4,4,3,4,4,5,4,4,True,
SURV0001621,DUD100204,2024-09-05,5,4,5,4,5,4,5,5,5,True,
SURV0001622,DUD100204,2024-10-03,4,5,4,4,4,4,5,5,3,True,
SURV0001623,DUD100205,2023-03-25,5,4,4,5,5,5,5,5,5,True,
SURV0001624,DUD100205,2023-04-03,4,4,4,4,4,4,4,4,4,True,
SURV0001625,DUD100205,2023-05-20,1,1,1,1,1,1,1,1,1,False,
SURV0001626,DUD100205,2023-06-09,2,2,2,2,2,1,3,2,1,False,
SURV0001627,DUD100205,2023-07-24,5,5,5,5,4,4,5,5,5,True,
SURV0001628,DUD100205,2023-08-06,4,4,3,4,4,4,3,4,4,True,
SURV0001629,DUD100205,2023-09-02,5,5,5,5,5,5,4,5,5,True,
SURV0001630,DUD100205,2023-10-14,4,5,4,5,3,3,4,4,5,True,
SURV0001631,DUD100206,2022-07-23,4,4,4,3,5,3,3,4,3,True,
SURV0001632,DUD100206,2022-08-03,4,4,4,4,3,4,5,4,3,True,
SURV0001633,DUD100206,2022-09-24,4,4,4,3,3,3,4,5,4,True,
SURV0001634,DUD100206,2022-10-21,4,3,3,5,4,3,5,5,5,True,
SURV0001635,DUD100206,2022-11-24,4,4,4,4,5,5,4,4,4,True,
SURV0001636,DUD100206,2022-12-15,5,5,5,5,5,5,5,4,5,True,
SURV0001637,DUD100206,2023-01-28,4,5,3,3,4,3,3,5,3,True,
SURV0001638,DUD100206,2023-02-02,3,3,3,3,4,2,4,3,3,False,
SURV0001639,DUD100207,2022-08-25,5,5,4,5,5,4,5,5,5,True,
SURV0001640,DUD100207,2022-09-26,5,5,5,4,5,4,4,4,5,True,
SURV0001641,DUD100207,2022-10-10,4,4,3,4,3,5,4,4,5,True,
SURV0001642,DUD100207,2022-11-22,4,5,5,5,3,4,4,5,4,True,
SURV0001643,DUD100207,2022-12-18,5,5,5,4,4,5,5,5,5,True,
SURV0001644,DUD100207,2023-01-28,5,5,5,5,4,5,5,5,4,True,
SURV0001645,DUD100207,2023-02-24,1,1,1,1,2,1,1,1,2,False,
SURV0001646,DUD100208,2022-03-27,1,1,1,2,1,2,2,1,1,False,
SURV0001647,DUD100208,2022-04-11,4,5,5,4,5,5,4,3,5,True,
SURV0001648,DUD100208,2022-05-27,4,4,3,3,3,5,4,3,5,True,
SURV0001649,DUD100208,2022-06-23,3,4,4,4,4,3,4,3,4,False,
SURV0001650,DUD100208,2022-07-03,2,2,2,1,2,2,2,2,2,False,
SURV0001651,DUD100208,2022-08-19,3,3,2,4,3,3,2,3,4,False,
SURV0001652,DUD100208,2022-09-12,3,3,3,3,3,3,4,3,3,False,
SURV0001653,DUD100208,2022-10-15,5,5,5,5,5,4,5,5,5,True,
SURV0001654,DUD100208,2022-11-17,5,5,5,5,4,5,5,4,5,True,
SURV0001655,DUD100208,2022-12-26,4,4,3,4,5,3,4,3,5,True,
SURV0001656,DUD100209,2024-02-13,3,4,4,3,4,3,2,2,3,False,
SURV0001657,DUD100209,2024-03-18,5,5,4,5,5,5,5,5,5,True,
SURV0001658,DUD100209,2024-04-14,4,4,5,3,5,5,4,4,4,True,
SURV0001659,DUD100209,2024-05-05,3,2,3,2,4,4,3,4,3,False,
SURV0001660,DUD100209,2024-06-14,4,4,5,5,4,4,4,5,5,True,
SURV0001661,DUD100209,2024-07-12,5,5,4,5,5,4,4,4,5,True,
SURV0001662,DUD100209,2024-08-23,4,5,3,3,3,4,4,4,3,True,
SURV0001663,DUD100209,2024-09-13,4,4,3,4,5,4,5,5,4,True,
SURV0001664,DUD100209,2024-10-18,4,5,4,5,4,3,4,5,4,True,
SURV0001665,DUD100209,2024-11-18,3,2,3,4,3,3,3,4,3,False,
SURV0001666,DUD100209,2024-12-22,1,1,1,2,2,1,2,2,1,False,
SURV0001667,DUD100210,2023-10-04,3,3,4,2,4,4,4,2,4,False,
SURV0001668,DUD100210,2023-11-07,5,5,4,5,5,5,5,5,5,True,
SURV0001669,DUD100210,2023-12-28,2,2,3,3,2,2,1,2,2,False,
SURV0001670,DUD100210,2024-01-13,3,3,3,3,3,2,3,2,3,False,
SURV0001671,DUD100210,2024-02-28,3,3,4,3,3,3,3,4,4,False,
SURV0001672,DUD100210,2024-03-16,4,4,4,5,4,4,4,3,5,True,
SURV0001673,DUD100210,2024-04-25,4,4,4,4,4,5,3,4,4,True,
SURV0001674,DUD100210,2024-05-26,5,5,5,5,4,5,5,5,5,True,
SURV0001675,DUD100210,2024-06-27,4,4,5,5,4,3,4,5,4,True,
SURV0001676,DUD100210,2024-07-11,4,4,4,4,4,5,4,4,4,True,
SURV0001677,DUD100211,2023-05-23,3,4,2,3,2,3,4,2,2,False,
SURV0001678,DUD100211,2023-06-08,4,3,4,5,5,5,5,4,3,True,
SURV0001679,DUD100211,2023-07-07,5,4,4,5,5,5,5,5,5,True,
SURV0001680,DUD100211,2023-08-25,5,5,4,4,5,4,5,4,5,True,
SURV0001681,DUD100211,2023-09-07,2,3,2,1,2,2,1,2,2,False,
SURV0001682,DUD100211,2023-10-14,4,4,3,4,3,5,4,3,5,True,
SURV0001683,DUD100211,2023-11-27,3,3,2,2,4,3,3,4,3,False,
SURV0001684,DUD100211,2023-12-06,5,5,5,5,5,5,4,5,5,True,
SURV0001685,DUD100211,2024-01-08,1,1,1,2,1,1,1,2,1,False,
SURV0001686,DUD100211,2024-02-19,4,5,3,4,4,3,5,4,3,True,
SURV0001687,DUD100212,2023-02-18,4,3,4,3,4,4,5,3,5,True,
SURV0001688,DUD100212,2023-03-14,3,3,3,4,4,3,4,3,3,False,
SURV0001689,DUD100212,2023-04-03,4,5,5,4,4,3,4,5,4,True,
SURV0001690,DUD100212,2023-05-15,4,4,3,4,4,4,3,3,5,True,
SURV0001691,DUD100212,2023-06-07,5,5,4,5,5,5,5,5,5,True,
SURV0001692,DUD100212,2023-07-15,4,5,4,4,4,5,5,4,5,True,
SURV0001693,DUD100212,2023-08-11,5,5,5,4,5,5,5,5,5,True,
SURV0001694,DUD100212,2023-09-02,4,4,4,4,4,3,4,5,3,True,
SURV0001695,DUD100212,2023-10-01,4,4,5,3,5,4,4,3,3,True,
SURV0001696,DUD100212,2023-11-28,4,5,5,5,3,4,3,4,4,True,
SURV0001697,DUD100212,2023-12-20,2,2,3,1,2,1,2,2,1,False,
SURV0001698,DUD100212,2024-01-22,4,5,4,3,5,5,4,4,3,True,
SURV0001699,DUD100213,2021-12-07,4,4,4,5,5,4,3,4,5,True,
SURV0001700,DUD100213,2022-01-03,2,1,2,3,2,1,3,1,2,False,
SURV0001701,DUD100213,2022-02-25,4,4,4,4,4,5,3,5,4,True,
SURV0001702,DUD100213,2022-03-01,4,4,4,5,4,5,3,5,4,True,
SURV0001703,DUD100213,2022-04-24,4,3,4,5,5,5,5,5,5,True,
SURV0001704,DUD100213,2022-05-27,5,4,5,5,4,5,4,5,5,True,
SURV0001705,DUD100213,2022-06-09,4,4,5,5,4,4,4,3,5,True,
SURV0001706,DUD100213,2022-07-20,4,4,4,3,4,4,4,4,4,True,
SURV0001707,DUD100213,2022-08-07,4,4,5,4,4,5,3,4,5,True,
SURV0001708,DUD100213,2022-09-19,4,4,4,4,4,4,5,4,3,True,
SURV0001709,DUD100213,2022-10-23,5,4,5,4,5,4,5,5,5,True,
SURV0001710,DUD100213,2022-11-15,5,5,4,5,5,4,5,5,5,True,
SURV0001711,DUD100214,2024-04-28,4,5,3,5,4,4,4,4,3,True,
SURV0001712,DUD100214,2024-05-14,4,5,5,4,3,5,5,3,4,True,
SURV0001713,DUD100214,2024-06-03,5,4,4,5,5,5,5,4,5,True,
SURV0001714,DUD100214,2024-07-17,4,4,4,4,4,4,3,3,5,True,
SURV0001715,DUD100214,2024-08-12,2,2,2,1,2,1,3,3,1,False,
SURV0001716,DUD100214,2024-09-26,4,3,3,4,4,5,4,4,5,True,
SURV0001717,DUD100214,2024-10-04,5,5,5,4,4,4,4,5,5,True,
SURV0001718,DUD100214,2024-11-25,4,3,4,5,5,4,4,3,4,True,
SURV0001719,DUD100214,2024-12-05,3,3,3,2,2,3,3,3,4,False,
SURV0001720,DUD100214,2025-01-09,3,3,3,2,3,3,4,4,3,False,
SURV0001721,DUD100214,2025-02-24,3,3,3,3,4,2,3,3,2,False,
SURV0001722,DUD100214,2025-03-04,4,4,5,4,4,4,3,3,5,True,
SURV0001723,DUD100215,2023-11-21,2,1,2,3,3,2,1,2,3,False,
SURV0001724,DUD100215,2023-12-16,3,4,3,4,3,2,3,2,2,False,
SURV0001725,DUD100215,2024-01-17,3,4,4,2,3,3,4,3,2,False,
SURV0001726,DUD100215,2024-02-17,5,5,5,5,5,4,5,4,5,True,
SURV0001727,DUD100215,2024-03-02,3,3,3,3,2,3,2,3,3,False,
SURV0001728,DUD100215,2024-04-19,4,4,3,5,3,4,4,4,5,True,
SURV0001729,DUD100215,2024-05-28,4,3,5,4,3,5,4,3,4,True,
SURV0001730,DUD100215,2024-06-10,2,3,1,2,3,2,2,3,1,False,
SURV0001731,DUD100215,2024-07-03,4,4,5,5,4,3,4,4,4,True,
SURV0001732,DUD100215,2024-08-10,5,5,5,5,5,5,5,4,5,True,
SURV0001733,DUD100215,2024-09-06,4,4,4,5,4,4,4,4,4,True,
SURV0001734,DUD100215,2024-10-09,3,2,3,3,3,4,2,3,3,False,
SURV0001735,DUD100216,2023-07-12,2,3,1,2,1,2,2,1,1,False,
SURV0001736,DUD100216,2023-08-19,2,2,3,2,2,3,2,3,3,False,
SURV0001737,DUD100216,2023-09-07,2,3,1,1,2,1,3,3,2,False,
SURV0001738,DUD100216,2023-10-02,3,3,3,3,4,4,4,2,3,False,
SURV0001739,DUD100216,2023-11-15,2,2,3,2,1,3,2,1,1,False,
SURV0001740,DUD100216,2023-12-14,4,5,5,4,3,4,4,4,5,True,
SURV0001741,DUD100217,2023-01-02,4,5,5,3,3,4,5,5,5,True,
SURV0001742,DUD100217,2023-02-28,3,4,2,3,4,3,2,3,2,False,
SURV0001743,DUD100217,2023-03-28,3,4,3,3,3,2,3,4,3,False,
SURV0001744,DUD100217,2023-04-04,5,5,4,4,5,4,4,4,5,True,
SURV0001745,DUD100217,2023-05-11,5,5,5,4,4,5,4,5,5,True,
SURV0001746,DUD100217,2023-06-16,4,4,4,4,4,5,5,4,4,True,
SURV0001747,DUD100217,2023-07-22,3,4,3,2,2,2,2,2,4,False,
SURV0001748,DUD100217,2023-08-12,4,4,3,4,4,3,5,3,5,True,
SURV0001749,DUD100217,2023-09-11,5,5,4,5,5,4,5,5,5,True,
SURV0001750,DUD100217,2023-10-12,3,2,4,3,3,4,2,2,3,False,
SURV0001751,DUD100217,2023-11-01,2,2,1,3,2,3,2,2,2,False,
SURV0001752,DUD100217,2023-12-12,3,3,4,4,4,3,3,2,4,False,
SURV0001753,DUD100218,2022-05-17,4,5,4,4,4,4,4,3,4,True,
SURV0001754,DUD100218,2022-06-26,2,2,1,2,2,1,1,2,1,False,
SURV0001755,DUD100218,2022-07-16,4,5,5,5,3,3,4,4,3,True,
SURV0001756,DUD100218,2022-08-22,4,4,5,4,4,3,3,3,4,True,
SURV0001757,DUD100219,2023-07-20,4,5,4,4,5,3,4,4,4,True,
SURV0001758,DUD100219,2023-08-01,5,5,5,5,4,4,5,5,5,True,
SURV0001759,DUD100219,2023-09-17,3,3,4,3,2,2,4,3,3,False,
SURV0001760,DUD100219,2023-10-28,4,3,3,3,4,4,4,4,4,True,
SURV0001761,DUD100219,2023-11-28,5,5,5,5,5,5,4,4,5,True,
SURV0001762,DUD100219,2023-12-15,4,4,5,4,4,4,5,4,4,True,
SURV0001763,DUD100219,2024-01-01,1,1,1,1,1,2,2,1,1,False,
SURV0001764,DUD100219,2024-02-24,5,4,5,5,5,5,5,5,4,True,
SURV0001765,DUD100219,2024-03-13,4,4,5,3,3,4,4,5,4,True,
SURV0001766,DUD100219,2024-04-15,3,3,2,4,4,3,4,4,3,False,
SURV0001767,DUD100219,2024-05-08,3,3,2,4,3,4,3,3,3,False,
SURV0001768,DUD100219,2024-06-21,3,3,3,4,4,3,3,2,4,False,
SURV0001769,DUD100220,2021-05-16,4,4,5,3,4,5,5,5,4,True,
SURV0001770,DUD100220,2021-06-02,5,5,4,5,5,5,5,4,5,True,
SURV0001771,DUD100220,2021-07-25,4,5,3,5,3,3,4,4,4,True,
SURV0001772,DUD100220,2021-08-20,3,3,3,3,2,2,2,4,3,False,
SURV0001773,DUD100220,2021-09-17,4,4,4,4,4,3,4,5,4,True,
SURV0001774,DUD100220,2021-10-28,4,4,4,4,3,4,5,4,3,True,
SURV0001775,DUD100220,2021-11-24,4,4,4,3,3,4,4,4,4,True,
SURV0001776,DUD100220,2021-12-08,5,5,5,5,5,5,5,5,5,True,
SURV0001777,DUD100220,2022-01-15,4,3,5,4,5,4,4,4,4,True,
SURV0001778,DUD100220,2022-02-25,4,4,4,5,3,5,5,4,4,True,
SURV0001779,DUD100220,2022-03-27,5,5,5,5,5,5,4,5,5,True,
SURV0001780,DUD100221,2021-03-24,4,4,5,5,5,5,4,5,3,True,
SURV0001781,DUD100221,2021-04-10,4,4,3,4,5,3,4,4,4,True,
SURV0001782,DUD100221,2021-05-24,4,4,4,4,4,3,5,4,5,True,
SURV0001783,DUD100221,2021-06-12,4,4,5,5,5,4,4,3,3,True,
SURV0001784,DUD100221,2021-07-15,3,4,3,3,3,3,3,2,2,False,
SURV0001785,DUD100222,2024-09-16,5,4,4,4,5,5,5,5,4,True,
SURV0001786,DUD100222,2024-10-12,3,3,4,2,3,2,2,3,3,False,
SURV0001787,DUD100222,2024-11-09,2,2,3,2,3,1,2,1,3,False,
SURV0001788,DUD100222,2024-12-14,5,5,5,5,4,5,5,5,5,True,
SURV0001789,DUD100222,2025-01-05,5,5,5,4,5,5,5,5,5,True,
SURV0001790,DUD100222,2025-02-14,1,1,1,1,1,1,1,1,2,False,
SURV0001791,DUD100222,2025-03-18,4,3,4,4,4,4,3,4,3,True,
SURV0001792,DUD100222,2025-04-12,4,5,4,4,3,3,5,4,4,True,
SURV0001793,DUD100223,2021-09-02,5,5,4,5,5,4,5,5,5,True,
SURV0001794,DUD100223,2021-10-07,4,4,4,4,5,3,4,5,4,True,
SURV0001795,DUD100223,2021-11-21,3,3,3,3,2,3,3,4,3,False,
SURV0001796,DUD100223,2021-12-20,3,3,2,2,4,4,2,3,4,False,
SURV0001797,DUD100223,2022-01-02,5,5,4,5,5,4,4,5,5,True,
SURV0001798,DUD100223,2022-02-18,3,3,3,2,4,2,4,4,3,False,
SURV0001799,DUD100223,2022-03-26,4,4,4,3,5,4,4,4,4,True,
SURV0001800,DUD100223,2022-04-04,4,4,3,3,4,4,3,4,4,True,
SURV0001801,DUD100223,2022-05-01,4,4,4,4,4,4,5,5,4,True,
SURV0001802,DUD100223,2022-06-05,4,5,3,4,4,3,4,3,4,True,
SURV0001803,DUD100224,2022-05-01,3,2,2,3,4,2,3,2,2,False,
SURV0001804,DUD100224,2022-06-03,3,2,3,3,3,2,4,3,4,False,
SURV0001805,DUD100224,2022-07-28,3,3,2,2,3,4,3,3,2,False,
SURV0001806,DUD100224,2022-08-27,3,4,2,3,4,4,3,4,3,False,
SURV0001807,DUD100225,2022-02-23,2,2,3,3,2,1,2,1,3,False,
SURV0001808,DUD100225,2022-03-18,4,4,4,3,4,5,3,5,5,True,
SURV0001809,DUD100225,2022-04-26,5,4,4,4,4,5,5,5,4,True,
SURV0001810,DUD100225,2022-05-04,5,5,5,4,5,5,5,5,5,True,
SURV0001811,DUD100225,2022-06-21,4,4,4,3,4,5,4,4,5,True,
SURV0001812,DUD100225,2022-07-22,3,3,3,2,2,4,3,4,4,False,
SURV0001813,DUD100225,2022-08-14,5,5,4,5,5,4,4,5,5,True,
SURV0001814,DUD100225,2022-09-21,3,3,3,2,3,3,4,3,3,False,
SURV0001815,DUD100226,2021-03-14,3,3,3,3,2,3,2,3,3,False,
SURV0001816,DUD100226,2021-04-24,4,4,4,4,5,3,4,4,5,True,
SURV0001817,DUD100226,2021-05-27,4,5,3,3,3,4,3,4,4,True,
SURV0001818,DUD100226,2021-06-22,4,4,3,3,4,5,3,5,3,True,
SURV0001819,DUD100226,2021-07-10,5,5,4,5,5,4,5,5,5,True,
SURV0001820,DUD100226,2021-08-17,3,4,3,2,2,2,2,3,3,False,
SURV0001821,DUD100226,2021-09-21,4,4,5,3,5,5,3,4,3,True,
SURV0001822,DUD100226,2021-10-28,3,2,3,2,2,4,2,3,3,False,
SURV0001823,DUD100226,2021-11-16,3,4,4,4,2,2,3,4,3,False,
SURV0001824,DUD100226,2021-12-27,2,2,2,1,2,3,2,3,1,False,
SURV0001825,DUD100226,2022-01-23,5,5,4,5,4,5,4,5,5,True,
SURV0001826,DUD100226,2022-02-18,4,4,4,3,4,4,3,5,4,True,
SURV0001827,DUD100227,2022-06-03,3,3,2,3,3,3,2,4,4,False,
SURV0001828,DUD100227,2022-07-02,5,5,5,5,5,5,5,4,4,True,
SURV0001829,DUD100227,2022-08-08,4,4,5,4,3,3,4,4,3,True,
SURV0001830,DUD100227,2022-09-02,4,4,3,4,4,5,5,4,3,True,
SURV0001831,DUD100228,2023-02-07,4,5,3,5,3,4,3,3,5,True,
SURV0001832,DUD100228,2023-03-06,4,4,4,3,5,3,4,5,5,True,
SURV0001833,DUD100228,2023-04-03,3,3,4,4,3,2,3,2,4,False,
SURV0001834,DUD100228,2023-05-28,5,4,5,5,5,5,5,4,5,True,
SURV0001835,DUD100228,2023-06-23,4,4,4,4,4,5,5,4,4,True,
SURV0001836,DUD100228,2023-07-13,4,5,4,5,4,5,3,4,5,True,
SURV0001837,DUD100228,2023-08-19,4,3,3,3,3,4,5,4,3,True,
SURV0001838,DUD100228,2023-09-05,3,4,3,3,3,2,3,4,2,False,
SURV0001839,DUD100228,2023-10-22,2,2,2,3,1,1,2,2,2,False,
SURV0001840,DUD100229,2024-06-16,2,2,2,2,2,3,2,3,2,False,
SURV0001841,DUD100229,2024-07-27,4,5,3,3,3,4,4,4,4,True,
SURV0001842,DUD100229,2024-08-14,4,5,3,4,3,4,4,5,4,True,
SURV0001843,DUD100229,2024-09-03,4,3,4,4,5,4,4,4,4,True,
SURV0001844,DUD100229,2024-10-21,4,3,4,4,4,3,5,3,4,True,
SURV0001845,DUD100229,2024-11-22,4,4,4,4,5,4,3,5,5,True,
SURV0001846,DUD100229,2024-12-02,4,4,3,4,4,5,4,3,3,True,
SURV0001847,DUD100230,2023-06-06,5,5,4,5,5,4,4,5,5,True,
SURV0001848,DUD100230,2023-07-01,4,4,5,5,4,5,5,5,3,True,
SURV0001849,DUD100230,2023-08-01,4,5,4,3,4,5,4,5,5,True,
SURV0001850,DUD100230,2023-09-12,4,4,4,3,4,4,4,4,3,True,
SURV0001851,DUD100230,2023-10-12,4,5,3,4,3,4,4,4,4,True,
SURV0001852,DUD100230,2023-11-18,4,3,3,3,5,3,5,5,5,True,
SURV0001853,DUD100230,2023-12-24,3,3,2,3,2,2,3,3,3,False,
SURV0001854,DUD100231,2022-08-11,4,4,3,4,3,3,4,5,5,True,
SURV0001855,DUD100231,2022-09-27,4,5,3,5,3,5,3,5,3,True,
SURV0001856,DUD100231,2022-10-10,2,2,1,1,1,1,2,3,3,False,
SURV0001857,DUD100231,2022-11-16,2,3,2,2,3,1,2,2,2,False,
SURV0001858,DUD100231,2022-12-14,4,4,3,3,3,4,4,4,5,True,
SURV0001859,DUD100231,2023-01-16,3,3,4,3,3,3,3,2,4,False,
SURV0001860,DUD100231,2023-02-02,4,3,4,4,4,4,5,5,5,True,
SURV0001861,DUD100232,2022-04-19,1,1,1,2,1,1,1,1,1,False,
SURV0001862,DUD100232,2022-05-28,4,4,4,4,3,4,4,5,4,True,
SURV0001863,DUD100232,2022-06-27,3,2,3,3,3,2,3,3,2,False,
SURV0001864,DUD100232,2022-07-24,5,5,5,5,5,5,5,4,5,True,
SURV0001865,DUD100232,2022-08-23,4,4,4,4,4,5,4,5,3,True,
SURV0001866,DUD100232,2022-09-12,3,3,3,4,3,2,4,2,3,False,
SURV0001867,DUD100232,2022-10-01,5,5,5,5,5,4,5,4,4,True,
SURV0001868,DUD100232,2022-11-03,4,4,3,4,3,4,3,4,4,True,
SURV0001869,DUD100232,2022-12-27,4,4,4,3,5,4,4,3,4,True,
SURV0001870,DUD100232,2023-01-20,4,4,4,4,4,5,5,4,5,True,
SURV0001871,DUD100232,2023-02-02,5,4,5,4,5,4,5,5,4,True,
SURV0001872,DUD100233,2023-05-10,3,4,3,3,2,3,4,3,3,False,
SURV0001873,DUD100233,2023-06-04,3,3,2,3,3,3,2,3,3,False,
SURV0001874,DUD100233,2023-07-04,2,2,3,1,1,2,2,1,2,False,
SURV0001875,DUD100233,2023-08-10,4,5,3,4,3,4,3,5,4,True,
SURV0001876,DUD100233,2023-09-05,3,3,3,4,2,3,3,3,2,False,
SURV0001877,DUD100233,2023-10-27,4,4,3,4,4,4,4,3,4,True,
SURV0001878,DUD100233,2023-11-07,4,5,4,5,4,4,4,4,3,True,
SURV0001879,DUD100233,2023-12-07,4,4,4,4,5,4,3,3,4,True,
SURV0001880,DUD100233,2024-01-11,5,5,5,4,5,5,5,5,4,True,
SURV0001881,DUD100233,2024-02-02,3,3,4,3,2,4,4,2,3,False,
SURV0001882,DUD100233,2024-03-02,5,4,5,5,5,5,5,5,5,True,
SURV0001883,DUD100234,2022-08-14,4,4,4,5,4,4,4,4,5,True,
SURV0001884,DUD100234,2022-09-23,2,2,1,2,2,2,1,3,1,False,
SURV0001885,DUD100234,2022-10-01,4,5,4,5,4,4,4,4,4,True,
SURV0001886,DUD100234,2022-11-23,4,4,4,5,4,5,4,3,5,True,
SURV0001887,DUD100234,2022-12-19,2,3,2,2,2,2,1,2,2,False,
SURV0001888,DUD100234,2023-01-18,4,5,3,5,4,3,3,4,4,True,
SURV0001889,DUD100234,2023-02-24,4,4,4,3,4,5,3,4,5,True,
SURV0001890,DUD100234,2023-03-15,4,3,4,5,5,3,4,5,4,True,
SURV0001891,DUD100234,2023-04-14,3,3,3,3,2,3,3,2,4,False,
SURV0001892,DUD100234,2023-05-15,2,2,1,3,2,1,2,2,2,False,
SURV0001893,DUD100234,2023-06-16,4,5,4,4,4,4,3,3,5,True,
SURV0001894,DUD100235,2021-11-05,5,4,5,5,5,5,5,5,5,True,
SURV0001895,DUD100235,2021-12-10,5,5,4,4,5,5,4,5,5,True,
SURV0001896,DUD100235,2022-01-02,4,4,4,4,4,5,4,4,4,True,
SURV0001897,DUD100235,2022-02-11,5,5,4,5,5,5,5,4,5,True,
SURV0001898,DUD100235,2022-03-07,3,4,2,3,2,3,3,2,2,False,
SURV0001899,DUD100235,2022-04-13,3,3,4,3,3,3,4,2,3,False,
SURV0001900,DUD100236,2021-07-12,4,4,4,4,5,5,5,4,3,True,
SURV0001901,DUD100236,2021-08-28,4,4,4,4,4,4,4,4,5,True,
SURV0001902,DUD100236,2021-09-20,4,5,3,3,4,4,4,3,5,True,
SURV0001903,DUD100236,2021-10-23,4,3,4,5,4,4,4,4,4,True,
SURV0001904,DUD100236,2021-11-28,4,3,4,4,3,4,4,4,4,True,
SURV0001905,DUD100236,2021-12-15,3,3,3,3,4,3,2,4,2,False,
SURV0001906,DUD100236,2022-01-13,3,3,4,3,4,2,4,3,3,False,
SURV0001907,DUD100237,2021-06-01,4,4,3,3,3,3,3,4,4,True,
SURV0001908,DUD100237,2021-07-04,5,5,5,5,5,5,5,5,5,True,
SURV0001909,DUD100237,2021-08-02,4,5,5,4,5,4,3,5,3,True,
SURV0001910,DUD100237,2021-09-24,1,1,1,1,1,1,2,1,1,False,
SURV0001911,DUD100237,2021-10-25,3,3,4,2,4,4,4,2,4,False,
SURV0001912,DUD100237,2021-11-06,4,4,3,5,3,4,5,4,4,True,
SURV0001913,DUD100237,2021-12-28,5,5,4,5,5,4,4,4,5,True,
SURV0001914,DUD100237,2022-01-07,5,4,5,4,5,5,5,5,5,True,
SURV0001915,DUD100237,2022-02-05,4,5,4,5,5,4,5,4,4,True,
SURV0001916,DUD100237,2022-03-10,4,3,4,3,3,3,4,3,5,True,
SURV0001917,DUD100237,2022-04-03,4,5,5,5,4,3,4,4,3,True,
SURV0001918,DUD100238,2022-07-16,3,3,2,4,2,4,3,3,3,False,
SURV0001919,DUD100238,2022-08-12,3,3,3,4,2,4,3,4,2,False,
SURV0001920,DUD100238,2022-09-03,4,4,4,5,3,5,5,5,4,True,
SURV0001921,DUD100238,2022-10-23,4,5,5,5,4,4,4,3,4,True,
SURV0001922,DUD100238,2022-11-04,4,4,4,3,3,3,3,3,5,True,
SURV0001923,DUD100238,2022-12-04,3,3,3,3,2,3,2,3,4,False,
SURV0001924,DUD100238,2023-01-24,4,5,4,5,3,4,3,3,5,True,
SURV0001925,DUD100238,2023-02-04,2,2,2,3,2,2,2,1,2,False,
SURV0001926,DUD100239,2024-02-24,4,3,4,4,4,5,5,4,5,True,
