qualification_id,employee_id,qualification_name,qualification_type,issuing_organization,issue_date,expiry_date,qualification_status
QUAL000350,DUD100267,TEFL,Teaching Certification,International TEFL Academy,2022-07-26,,Active
QUAL000351,DUD100268,BA English,Degree,University,2023-01-22,,Active
QUAL000352,DUD100269,CELTA,Teaching Certification,Cambridge English,2019-01-19,,Active
QUAL000353,DUD100270,MA Education,Degree,University,2020-02-19,,Active
QUAL000354,DUD100271,CELTA,Teaching Certification,Cambridge English,2022-11-11,,Active
QUAL000355,DUD100271,BA Linguistics,Degree,University,2019-07-24,,Active
QUAL000356,DUD100272,CELTA,Teaching Certification,Cambridge English,2023-05-26,2027-05-26,Active
QUAL000357,DUD100273,TEFL,Teaching Certification,International TEFL Academy,2019-06-18,,Active
QUAL000358,DUD100274,MA Education,Degree,University,2020-01-15,,Active
QUAL000359,DUD100275,CELTA,Teaching Certification,Cambridge English,2020-09-19,,Active
QUAL000360,DUD100276,MA Education,Degree,University,2020-04-20,,Active
QUAL000361,DUD100276,BA English,Degree,University,2025-03-27,,Active
QUAL000362,DUD100277,BA English,Degree,University,2021-10-17,,Active
QUAL000363,DUD100278,MA Education,Degree,University,2023-07-17,,Active
QUAL000364,DUD100279,CELTA,Teaching Certification,Cambridge English,2019-07-04,,Active
QUAL000365,DUD100279,BA Education,Degree,University,2018-01-14,,Active
QUAL000366,DUD100280,TEFL,Teaching Certification,International TEFL Academy,2025-01-18,,Active
QUAL000367,DUD100280,BA English,Degree,University,2022-07-28,,Active
QUAL000368,DUD100281,BA Education,Degree,University,2018-03-16,,Active
QUAL000369,DUD100282,TESOL,Teaching Certification,TESOL International Association,2020-08-05,,Active
QUAL000370,DUD100282,MA Education,Degree,University,2024-12-25,,Active
QUAL000371,DUD100283,MA Education,Degree,University,2025-12-24,,Active
QUAL000372,DUD100283,TESOL,Teaching Certification,TESOL International Association,2023-07-28,2027-11-06,Active
QUAL000373,DUD100284,CELTA,Teaching Certification,Cambridge English,2022-09-15,,Active
QUAL000374,DUD100285,MA Education,Degree,University,2022-01-14,,Active
QUAL000375,DUD100285,TESOL,Teaching Certification,TESOL International Association,2022-11-02,,Active
QUAL000376,DUD100286,CELTA,Teaching Certification,Cambridge English,2018-07-12,,Active
QUAL000377,DUD100287,TESOL,Teaching Certification,TESOL International Association,2024-12-14,,Active
QUAL000378,DUD100288,BA Education,Degree,University,2023-01-05,,Active
QUAL000379,DUD100288,CELTA,Teaching Certification,Cambridge English,2021-01-01,,Active
QUAL000380,DUD100289,BA Linguistics,Degree,University,2018-02-12,,Active
QUAL000381,DUD100290,CELTA,Teaching Certification,Cambridge English,2022-03-12,,Active
QUAL000382,DUD100290,BA English,Degree,University,2020-07-01,,Active
QUAL000383,DUD100291,MA Education,Degree,University,2023-06-17,,Active
QUAL000384,DUD100291,CELTA,Teaching Certification,Cambridge English,2018-03-11,2021-04-07,Expired
QUAL000385,DUD100292,BA Linguistics,Degree,University,2019-02-10,,Active
QUAL000386,DUD100293,CELTA,Teaching Certification,Cambridge English,2024-02-11,,Active
QUAL000387,DUD100294,MA Education,Degree,University,2024-02-13,,Active
QUAL000388,DUD100295,BA English,Degree,University,2025-03-23,,Active
QUAL000389,DUD100295,TESOL,Teaching Certification,TESOL International Association,2021-02-08,,Active
QUAL000390,DUD100296,TEFL,Teaching Certification,International TEFL Academy,2018-10-06,2022-10-14,Expired
QUAL000391,DUD100296,BA English,Degree,University,2019-12-10,,Active
QUAL000392,DUD100297,BA English,Degree,University,2021-03-07,,Active
QUAL000393,DUD100297,TEFL,Teaching Certification,International TEFL Academy,2024-12-03,,Active
QUAL000394,DUD100298,TEFL,Teaching Certification,International TEFL Academy,2023-08-22,,Active
QUAL000395,DUD100299,CELTA,Teaching Certification,Cambridge English,2019-08-19,,Active
QUAL000396,DUD100300,TESOL,Teaching Certification,TESOL International Association,2021-08-11,,Active
QUAL000397,DUD100301,BA English,Degree,University,2020-02-11,,Active
QUAL000398,DUD100302,CELTA,Teaching Certification,Cambridge English,2020-09-21,,Active
QUAL000399,DUD100302,TESOL,Teaching Certification,TESOL International Association,2020-05-08,,Active
QUAL000400,DUD100303,CELTA,Teaching Certification,Cambridge English,2022-08-11,,Active
QUAL000401,DUD100304,BA Linguistics,Degree,University,2019-09-07,,Active
QUAL000402,DUD100304,MA Education,Degree,University,2024-04-05,,Active
QUAL000403,DUD100305,BA Linguistics,Degree,University,2021-01-10,,Active
QUAL000404,DUD100305,BA English,Degree,University,2020-08-05,,Active
QUAL000405,DUD100306,MA Education,Degree,University,2023-04-07,,Active
QUAL000406,DUD100307,BA Education,Degree,University,2018-10-24,,Active
QUAL000407,DUD100307,BA Linguistics,Degree,University,2024-08-27,,Active
QUAL000408,DUD100308,TESOL,Teaching Certification,TESOL International Association,2018-12-21,,Active
QUAL000409,DUD100309,BA English,Degree,University,2023-08-25,,Active
QUAL000410,DUD100309,BA Education,Degree,University,2024-03-04,,Active
QUAL000411,DUD100310,BA Education,Degree,University,2025-02-27,,Active
QUAL000412,DUD100310,CELTA,Teaching Certification,Cambridge English,2019-01-08,,Active
QUAL000413,DUD100311,CELTA,Teaching Certification,Cambridge English,2021-07-16,,Active
QUAL000414,DUD100312,CELTA,Teaching Certification,Cambridge English,2018-02-23,,Active
QUAL000415,DUD100313,BA English,Degree,University,2018-06-21,,Active
QUAL000416,DUD100313,MA Education,Degree,University,2023-01-06,,Active
QUAL000417,DUD100314,BA English,Degree,University,2020-03-09,,Active
QUAL000418,DUD100314,TESOL,Teaching Certification,TESOL International Association,2024-04-06,,Active
QUAL000419,DUD100315,BA Education,Degree,University,2021-03-13,,Active
QUAL000420,DUD100316,TEFL,Teaching Certification,International TEFL Academy,2018-04-09,,Active
QUAL000421,DUD100317,BA Education,Degree,University,2022-09-08,,Active
QUAL000422,DUD100318,CELTA,Teaching Certification,Cambridge English,2024-05-25,,Active
QUAL000423,DUD100319,TEFL,Teaching Certification,International TEFL Academy,2024-04-07,2027-09-20,Active
QUAL000424,DUD100320,BA Education,Degree,University,2018-02-06,,Active
QUAL000425,DUD100321,BA Linguistics,Degree,University,2019-12-21,,Active
QUAL000426,DUD100322,BA English,Degree,University,2021-02-14,,Active
QUAL000427,DUD100323,MA Education,Degree,University,2019-08-28,,Active
QUAL000428,DUD100323,BA Linguistics,Degree,University,2024-02-09,,Active
QUAL000429,DUD100324,TESOL,Teaching Certification,TESOL International Association,2018-08-19,,Active
QUAL000430,DUD100325,TEFL,Teaching Certification,International TEFL Academy,2020-01-26,,Active
QUAL000431,DUD100326,TEFL,Teaching Certification,International TEFL Academy,2025-09-05,,Active
QUAL000432,DUD100327,CELTA,Teaching Certification,Cambridge English,2019-05-10,2023-09-03,Expired
QUAL000433,DUD100327,MA Education,Degree,University,2024-11-13,,Active
QUAL000434,DUD100328,BA Linguistics,Degree,University,2019-03-20,,Active
QUAL000435,DUD100328,CELTA,Teaching Certification,Cambridge English,2018-09-24,,Active
QUAL000436,DUD100329,BA Education,Degree,University,2022-10-04,,Active
QUAL000437,DUD100330,TESOL,Teaching Certification,TESOL International Association,2022-11-12,2026-05-17,Expired
QUAL000438,DUD100331,BA Linguistics,Degree,University,2019-05-19,,Active
QUAL000439,DUD100332,MA Education,Degree,University,2018-03-07,,Active
QUAL000440,DUD100333,TESOL,Teaching Certification,TESOL International Association,2020-12-10,,Active
QUAL000441,DUD100334,BA English,Degree,University,2024-10-02,,Active
QUAL000442,DUD100335,TESOL,Teaching Certification,TESOL International Association,2025-12-05,,Active
QUAL000443,DUD100336,MA Education,Degree,University,2018-01-14,,Active
QUAL000444,DUD100336,BA English,Degree,University,2019-05-18,,Active
QUAL000445,DUD100337,BA English,Degree,University,2020-02-25,,Active
QUAL000446,DUD100338,BA Education,Degree,University,2020-01-17,,Active
QUAL000447,DUD100338,BA Linguistics,Degree,University,2024-01-06,,Active
QUAL000448,DUD100339,BA Education,Degree,University,2019-09-17,,Active
QUAL000449,DUD100339,TESOL,Teaching Certification,TESOL International Association,2024-05-11,,Active
QUAL000450,DUD100340,BA Education,Degree,University,2024-10-17,,Active
QUAL000451,DUD100341,CELTA,Teaching Certification,Cambridge English,2025-05-19,,Active
QUAL000452,DUD100342,BA Linguistics,Degree,University,2022-03-05,,Active
QUAL000453,DUD100343,TESOL,Teaching Certification,TESOL International Association,2020-09-22,,Active
QUAL000454,DUD100343,TEFL,Teaching Certification,International TEFL Academy,2024-11-10,,Active
QUAL000455,DUD100344,TEFL,Teaching Certification,International TEFL Academy,2020-02-26,,Active
QUAL000456,DUD100345,TEFL,Teaching Certification,International TEFL Academy,2019-09-04,,Active
QUAL000457,DUD100346,BA Linguistics,Degree,University,2025-06-25,,Active
QUAL000458,DUD100346,BA Education,Degree,University,2021-10-13,,Active
QUAL000459,DUD100347,MA Education,Degree,University,2023-08-08,,Active
QUAL000460,DUD100347,BA English,Degree,University,2019-03-05,,Active
QUAL000461,DUD100348,TESOL,Teaching Certification,TESOL International Association,2025-08-14,,Active
QUAL000462,DUD100348,BA Education,Degree,University,2020-07-16,,Active
QUAL000463,DUD100349,TEFL,Teaching Certification,International TEFL Academy,2019-10-14,,Active
QUAL000464,DUD100349,TESOL,Teaching Certification,TESOL International Association,2018-05-14,,Active
QUAL000465,DUD100350,TESOL,Teaching Certification,TESOL International Association,2021-04-19,,Active
QUAL000466,DUD100351,TEFL,Teaching Certification,International TEFL Academy,2023-05-21,,Active
QUAL000467,DUD100351,BA Education,Degree,University,2019-01-13,,Active
QUAL000468,DUD100352,TEFL,Teaching Certification,International TEFL Academy,2021-02-21,,Active
QUAL000469,DUD100353,CELTA,Teaching Certification,Cambridge English,2021-08-03,,Active
QUAL000470,DUD100354,BA English,Degree,University,2020-02-21,,Active
QUAL000471,DUD100355,MA Education,Degree,University,2020-05-17,,Active
QUAL000472,DUD100356,MA Education,Degree,University,2020-08-19,,Active
QUAL000473,DUD100356,TEFL,Teaching Certification,International TEFL Academy,2020-04-17,,Active
QUAL000474,DUD100357,TEFL,Teaching Certification,International TEFL Academy,2019-06-19,,Active
QUAL000475,DUD100358,MA Education,Degree,University,2025-06-14,,Active
QUAL000476,DUD100359,BA Education,Degree,University,2019-08-11,,Active
QUAL000477,DUD100360,CELTA,Teaching Certification,Cambridge English,2024-02-14,,Active
QUAL000478,DUD100361,BA Education,Degree,University,2021-10-21,,Active
QUAL000479,DUD100362,CELTA,Teaching Certification,Cambridge English,2023-10-18,,Active
QUAL000480,DUD100363,CELTA,Teaching Certification,Cambridge English,2019-02-23,,Active
QUAL000481,DUD100364,MA Education,Degree,University,2018-11-02,,Active
QUAL000482,DUD100365,CELTA,Teaching Certification,Cambridge English,2022-04-17,,Active
QUAL000483,DUD100366,MA Education,Degree,University,2022-08-10,,Active
QUAL000484,DUD100367,BA Linguistics,Degree,University,2022-02-18,,Active
QUAL000485,DUD100368,TESOL,Teaching Certification,TESOL International Association,2022-05-24,,Active
QUAL000486,DUD100369,TEFL,Teaching Certification,International TEFL Academy,2023-09-06,,Active
QUAL000487,DUD100370,BA English,Degree,University,2019-06-17,,Active
QUAL000488,DUD100370,CELTA,Teaching Certification,Cambridge English,2019-01-19,,Active
QUAL000489,DUD100371,TEFL,Teaching Certification,International TEFL Academy,2021-01-13,2024-02-25,Expired
QUAL000490,DUD100372,TESOL,Teaching Certification,TESOL International Association,2022-12-28,,Active
QUAL000491,DUD100373,TESOL,Teaching Certification,TESOL International Association,2023-03-09,,Active
QUAL000492,DUD100374,TESOL,Teaching Certification,TESOL International Association,2025-05-22,,Active
QUAL000493,DUD100374,TEFL,Teaching Certification,International TEFL Academy,2025-04-26,,Active
QUAL000494,DUD100375,MA Education,Degree,University,2021-06-16,,Active
QUAL000495,DUD100376,MA Education,Degree,University,2018-02-27,,Active
QUAL000496,DUD100377,TESOL,Teaching Certification,TESOL International Association,2024-05-26,,Active
QUAL000497,DUD100378,CELTA,Teaching Certification,Cambridge English,2020-06-07,,Active
QUAL000498,DUD100379,TEFL,Teaching Certification,International TEFL Academy,2019-07-22,,Active
QUAL000499,DUD100380,CELTA,Teaching Certification,Cambridge English,2022-12-09,,Active
QUAL000500,DUD100381,MA Education,Degree,University,2021-08-10,,Active
QUAL000501,DUD100382,TESOL,Teaching Certification,TESOL International Association,2019-07-17,,Active
QUAL000502,DUD100382,BA English,Degree,University,2024-11-05,,Active
QUAL000503,DUD100383,CELTA,Teaching Certification,Cambridge English,2019-06-04,,Active
QUAL000504,DUD100384,MA Education,Degree,University,2021-05-07,,Active
QUAL000505,DUD100385,CELTA,Teaching Certification,Cambridge English,2025-10-18,,Active
QUAL000506,DUD100385,BA Linguistics,Degree,University,2022-01-10,,Active
QUAL000507,DUD100386,MA Education,Degree,University,2019-04-07,,Active
QUAL000508,DUD100387,BA Education,Degree,University,2018-12-14,,Active
QUAL000509,DUD100388,BA Linguistics,Degree,University,2021-05-08,,Active
QUAL000510,DUD100389,BA English,Degree,University,2018-04-01,,Active
QUAL000511,DUD100389,BA Education,Degree,University,2023-10-13,,Active
QUAL000512,DUD100390,MA Education,Degree,University,2020-11-03,,Active
QUAL000513,DUD100391,BA English,Degree,University,2018-01-11,,Active
QUAL000514,DUD100392,TEFL,Teaching Certification,International TEFL Academy,2024-05-08,,Active
QUAL000515,DUD100392,BA Education,Degree,University,2019-12-03,,Active
QUAL000516,DUD100393,TESOL,Teaching Certification,TESOL International Association,2021-01-20,,Active
QUAL000517,DUD100394,CELTA,Teaching Certification,Cambridge English,2018-11-01,,Active
QUAL000518,DUD100395,BA English,Degree,University,2022-05-23,,Active
QUAL000519,DUD100396,MA Education,Degree,University,2019-09-20,,Active
QUAL000520,DUD100397,BA English,Degree,University,2020-03-13,,Active
QUAL000521,DUD100398,TEFL,Teaching Certification,International TEFL Academy,2018-03-03,,Active
QUAL000522,DUD100398,TESOL,Teaching Certification,TESOL International Association,2021-10-19,,Active
QUAL000523,DUD100399,MA Education,Degree,University,2023-04-27,,Active
QUAL000524,DUD100400,BA English,Degree,University,2023-05-05,,Active
QUAL000525,DUD100401,BA English,Degree,University,2019-01-01,,Active
QUAL000526,DUD100402,CELTA,Teaching Certification,Cambridge English,2019-03-14,2022-12-19,Expired
QUAL000527,DUD100402,BA Education,Degree,University,2018-03-09,,Active
QUAL000528,DUD100403,TESOL,Teaching Certification,TESOL International Association,2023-04-10,,Active
QUAL000529,DUD100404,CELTA,Teaching Certification,Cambridge English,2025-12-07,,Active
QUAL000530,DUD100404,BA English,Degree,University,2025-09-22,,Active
QUAL000531,DUD100405,BA Education,Degree,University,2018-12-20,,Active
QUAL000532,DUD100405,TESOL,Teaching Certification,TESOL International Association,2019-01-22,,Active
QUAL000533,DUD100406,MA Education,Degree,University,2019-09-16,,Active
QUAL000534,DUD100406,TEFL,Teaching Certification,International TEFL Academy,2025-09-24,,Active
QUAL000535,DUD100407,BA English,Degree,University,2024-08-27,,Active
QUAL000536,DUD100408,MA Education,Degree,University,2025-08-14,,Active
QUAL000537,DUD100409,BA Education,Degree,University,2022-03-23,,Active
QUAL000538,DUD100409,MA Education,Degree,University,2019-07-27,,Active
QUAL000539,DUD100410,TESOL,Teaching Certification,TESOL International Association,2019-12-20,2024-01-20,Expired
QUAL000540,DUD100411,TESOL,Teaching Certification,TESOL International Association,2025-09-03,,Active
QUAL000541,DUD100412,MA Education,Degree,University,2025-07-08,,Active
QUAL000542,DUD100413,BA Education,Degree,University,2024-10-19,,Active
QUAL000543,DUD100414,BA English,Degree,University,2023-02-19,,Active
QUAL000544,DUD100415,MA Education,Degree,University,2022-05-15,,Active
QUAL000545,DUD100416,BA Education,Degree,University,2024-09-01,,Active
QUAL000546,DUD100416,CELTA,Teaching Certification,Cambridge English,2018-07-16,,Active
QUAL000547,DUD100417,CELTA,Teaching Certification,Cambridge English,2018-10-07,,Active
QUAL000548,DUD100418,TESOL,Teaching Certification,TESOL International Association,2018-10-01,,Active
QUAL000549,DUD100419,TESOL,Teaching Certification,TESOL International Association,2024-03-06,,Active
QUAL000550,DUD100420,MA Education,Degree,University,2025-04-22,,Active
QUAL000551,DUD100421,CELTA,Teaching Certification,Cambridge English,2023-12-13,,Active
QUAL000552,DUD100422,BA Linguistics,Degree,University,2022-02-02,,Active
QUAL000553,DUD100423,BA English,Degree,University,2020-11-26,,Active
QUAL000554,DUD100424,MA Education,Degree,University,2021-10-28,,Active
QUAL000555,DUD100425,BA Linguistics,Degree,University,2018-03-09,,Active
QUAL000556,DUD100426,CELTA,Teaching Certification,Cambridge English,2019-05-15,2023-07-26,Expired
QUAL000557,DUD100427,CELTA,Teaching Certification,Cambridge English,2024-12-08,,Active
QUAL000558,DUD100427,TESOL,Teaching Certification,TESOL International Association,2019-12-08,,Active
QUAL000559,DUD100428,TESOL,Teaching Certification,TESOL International Association,2021-07-24,,Active
QUAL000560,DUD100429,BA English,Degree,University,2025-12-25,,Active
QUAL000561,DUD100429,CELTA,Teaching Certification,Cambridge English,2020-07-05,,Active
QUAL000562,DUD100430,BA Education,Degree,University,2020-09-28,,Active
QUAL000563,DUD100431,TESOL,Teaching Certification,TESOL International Association,2018-01-25,,Active
QUAL000564,DUD100432,MA Education,Degree,University,2023-07-19,,Active
QUAL000565,DUD100433,CELTA,Teaching Certification,Cambridge English,2025-01-18,2028-11-23,Active
QUAL000566,DUD100434,TEFL,Teaching Certification,International TEFL Academy,2024-05-09,,Active
QUAL000567,DUD100435,BA Education,Degree,University,2023-03-20,,Active
QUAL000568,DUD100436,BA English,Degree,University,2018-07-24,,Active
QUAL000569,DUD100437,CELTA,Teaching Certification,Cambridge English,2023-12-03,,Active
QUAL000570,DUD100438,MA Education,Degree,University,2024-03-27,,Active
QUAL000571,DUD100439,BA English,Degree,University,2018-04-05,,Active
QUAL000572,DUD100440,TESOL,Teaching Certification,TESOL International Association,2020-02-10,,Active
QUAL000573,DUD100441,TESOL,Teaching Certification,TESOL International Association,2022-02-24,,Active
QUAL000574,DUD100442,BA English,Degree,University,2024-10-01,,Active
QUAL000575,DUD100443,BA English,Degree,University,2019-03-28,,Active
QUAL000576,DUD100444,CELTA,Teaching Certification,Cambridge English,2021-09-08,2026-01-15,Expired
QUAL000577,DUD100445,BA Education,Degree,University,2022-02-16,,Active
QUAL000578,DUD100445,MA Education,Degree,University,2023-04-15,,Active
QUAL000579,DUD100446,BA Linguistics,Degree,University,2025-12-22,,Active
QUAL000580,DUD100447,CELTA,Teaching Certification,Cambridge English,2021-01-06,,Active
QUAL000581,DUD100448,CELTA,Teaching Certification,Cambridge English,2022-12-20,,Active
QUAL000582,DUD100449,BA English,Degree,University,2020-07-18,,Active
QUAL000583,DUD100450,BA Education,Degree,University,2021-03-28,,Active
QUAL000584,DUD100450,TEFL,Teaching Certification,International TEFL Academy,2018-05-07,,Active
QUAL000585,DUD100451,BA English,Degree,University,2023-01-24,,Active
QUAL000586,DUD100452,TESOL,Teaching Certification,TESOL International Association,2018-06-05,2020-10-30,Expired
QUAL000587,DUD100452,BA Linguistics,Degree,University,2022-06-20,,Active
QUAL000588,DUD100453,BA Linguistics,Degree,University,2020-01-26,,Active
QUAL000589,DUD100454,CELTA,Teaching Certification,Cambridge English,2018-02-26,,Active
QUAL000590,DUD100455,MA Education,Degree,University,2021-01-04,,Active
QUAL000591,DUD100456,BA Education,Degree,University,2022-03-24,,Active
QUAL000592,DUD100457,MA Education,Degree,University,2025-12-20,,Active
QUAL000593,DUD100458,BA English,Degree,University,2019-05-03,,Active
QUAL000594,DUD100458,TEFL,Teaching Certification,International TEFL Academy,2020-01-22,,Active
QUAL000595,DUD100459,MA Education,Degree,University,2019-07-20,,Active
QUAL000596,DUD100459,BA Education,Degree,University,2024-07-28,,Active
QUAL000597,DUD100460,TESOL,Teaching Certification,TESOL International Association,2020-12-15,2023-05-09,Expired
QUAL000598,DUD100461,MA Education,Degree,University,2019-10-12,,Active
QUAL000599,DUD100461,BA Education,Degree,University,2024-06-25,,Active
QUAL000600,DUD100462,BA English,Degree,University,2025-02-23,,Active
QUAL000601,DUD100463,TEFL,Teaching Certification,International TEFL Academy,2022-09-26,2026-04-08,Expired
QUAL000602,DUD100464,BA English,Degree,University,2020-01-04,,Active
QUAL000603,DUD100465,TESOL,Teaching Certification,TESOL International Association,2025-03-18,,Active
QUAL000604,DUD100465,CELTA,Teaching Certification,Cambridge English,2021-10-25,,Active
QUAL000605,DUD100466,BA English,Degree,University,2021-06-05,,Active
QUAL000606,DUD100467,BA Linguistics,Degree,University,2021-03-18,,Active
QUAL000607,DUD100468,BA Linguistics,Degree,University,2018-06-21,,Active
QUAL000608,DUD100468,TESOL,Teaching Certification,TESOL International Association,2021-12-17,,Active
QUAL000609,DUD100469,BA Education,Degree,University,2023-07-11,,Active
QUAL000610,DUD100470,TESOL,Teaching Certification,TESOL International Association,2021-12-18,,Active
QUAL000611,DUD100471,BA Linguistics,Degree,University,2019-11-14,,Active
QUAL000612,DUD100471,MA Education,Degree,University,2024-10-25,,Active
QUAL000613,DUD100472,BA English,Degree,University,2019-12-16,,Active
QUAL000614,DUD100472,TESOL,Teaching Certification,TESOL International Association,2023-09-17,,Active
QUAL000615,DUD100473,CELTA,Teaching Certification,Cambridge English,2025-06-11,,Active
QUAL000616,DUD100473,BA English,Degree,University,2024-08-23,,Active
QUAL000617,DUD100474,TEFL,Teaching Certification,International TEFL Academy,2023-07-02,,Active
QUAL000618,DUD100475,TEFL,Teaching Certification,International TEFL Academy,2022-03-05,,Active
QUAL000619,DUD100476,BA Education,Degree,University,2021-03-27,,Active
QUAL000620,DUD100477,TESOL,Teaching Certification,TESOL International Association,2020-11-27,2023-01-31,Expired
QUAL000621,DUD100477,BA Education,Degree,University,2023-01-03,,Active
QUAL000622,DUD100478,BA Linguistics,Degree,University,2023-03-24,,Active
QUAL000623,DUD100479,BA English,Degree,University,2025-07-03,,Active
QUAL000624,DUD100480,BA English,Degree,University,2019-03-18,,Active
QUAL000625,DUD100480,TESOL,Teaching Certification,TESOL International Association,2018-04-01,,Active
QUAL000626,DUD100481,BA Education,Degree,University,2019-05-12,,Active
QUAL000627,DUD100482,TEFL,Teaching Certification,International TEFL Academy,2019-03-12,,Active
QUAL000628,DUD100483,CELTA,Teaching Certification,Cambridge English,2024-09-21,,Active
QUAL000629,DUD100483,TESOL,Teaching Certification,TESOL International Association,2019-07-05,,Active
QUAL000630,DUD100484,MA Education,Degree,University,2025-09-04,,Active
QUAL000631,DUD100485,MA Education,Degree,University,2019-01-02,,Active
QUAL000632,DUD100486,BA English,Degree,University,2022-09-12,,Active
QUAL000633,DUD100487,BA Linguistics,Degree,University,2019-09-02,,Active
QUAL000634,DUD100488,BA English,Degree,University,2023-01-01,,Active
QUAL000635,DUD100488,BA Linguistics,Degree,University,2018-05-12,,Active
QUAL000636,DUD100489,BA Linguistics,Degree,University,2022-07-22,,Active
QUAL000637,DUD100490,MA Education,Degree,University,2024-12-27,,Active
QUAL000638,DUD100490,BA Education,Degree,University,2019-05-14,,Active
QUAL000639,DUD100491,BA English,Degree,University,2018-08-09,,Active
QUAL000640,DUD100492,BA Linguistics,Degree,University,2020-01-13,,Active
QUAL000641,DUD100493,MA Education,Degree,University,2022-06-24,,Active
QUAL000642,DUD100494,TEFL,Teaching Certification,International TEFL Academy,2025-11-07,,Active
QUAL000643,DUD100495,BA Linguistics,Degree,University,2023-08-22,,Active
QUAL000644,DUD100496,BA Linguistics,Degree,University,2021-05-10,,Active
QUAL000645,DUD100497,BA Linguistics,Degree,University,2018-02-03,,Active
QUAL000646,DUD100498,BA English,Degree,University,2019-05-25,,Active
QUAL000647,DUD100499,BA English,Degree,University,2020-06-10,,Active
QUAL000648,DUD100499,CELTA,Teaching Certification,Cambridge English,2025-10-23,,Active
QUAL000649,DUD100500,BA English,Degree,University,2020-07-26,,Active
QUAL000650,DUD100501,BA Education,Degree,University,2020-05-12,,Active
QUAL000651,DUD100502,BA Linguistics,Degree,University,2024-08-25,,Active
QUAL000652,DUD100502,CELTA,Teaching Certification,Cambridge English,2019-11-03,,Active
QUAL000653,DUD100503,CELTA,Teaching Certification,Cambridge English,2025-10-26,2029-12-02,Active
QUAL000654,DUD100504,MA Education,Degree,University,2021-06-04,,Active
QUAL000655,DUD100505,TESOL,Teaching Certification,TESOL International Association,2019-01-13,,Active
QUAL000656,DUD100506,TEFL,Teaching Certification,International TEFL Academy,2021-06-21,,Active
QUAL000657,DUD100507,MA Education,Degree,University,2024-08-03,,Active
QUAL000658,DUD100508,CELTA,Teaching Certification,Cambridge English,2022-03-06,,Active
QUAL000659,DUD100509,TESOL,Teaching Certification,TESOL International Association,2019-10-03,,Active
QUAL000660,DUD100510,BA Education,Degree,University,2025-07-02,,Active
QUAL000661,DUD100511,TEFL,Teaching Certification,International TEFL Academy,2020-12-24,,Active
QUAL000662,DUD100511,CELTA,Teaching Certification,Cambridge English,2025-09-28,,Active
QUAL000663,DUD100512,TEFL,Teaching Certification,International TEFL Academy,2018-07-04,,Active
QUAL000664,DUD100513,BA Education,Degree,University,2020-11-14,,Active
QUAL000665,DUD100513,MA Education,Degree,University,2025-08-21,,Active
QUAL000666,DUD100514,BA Education,Degree,University,2019-10-16,,Active
QUAL000667,DUD100515,BA Linguistics,Degree,University,2022-10-18,,Active
QUAL000668,DUD100515,BA Education,Degree,University,2024-03-02,,Active
QUAL000669,DUD100516,MA Education,Degree,University,2025-01-04,,Active
QUAL000670,DUD100517,TESOL,Teaching Certification,TESOL International Association,2022-07-19,,Active
QUAL000671,DUD100518,CELTA,Teaching Certification,Cambridge English,2022-08-22,,Active
QUAL000672,DUD100519,TESOL,Teaching Certification,TESOL International Association,2023-08-06,,Active
QUAL000673,DUD100520,TEFL,Teaching Certification,International TEFL Academy,2022-02-25,,Active
QUAL000674,DUD100521,BA Linguistics,Degree,University,2019-10-27,,Active
QUAL000675,DUD100522,CELTA,Teaching Certification,Cambridge English,2019-04-08,,Active
QUAL000676,DUD100523,BA English,Degree,University,2025-08-20,,Active
QUAL000677,DUD100524,TEFL,Teaching Certification,International TEFL Academy,2025-09-17,,Active
QUAL000678,DUD100524,TESOL,Teaching Certification,TESOL International Association,2020-07-15,,Active
QUAL000679,DUD100525,BA Linguistics,Degree,University,2020-10-28,,Active
QUAL000680,DUD100526,BA Linguistics,Degree,University,2024-02-14,,Active
QUAL000681,DUD100527,BA Linguistics,Degree,University,2023-01-17,,Active
QUAL000682,DUD100527,TESOL,Teaching Certification,TESOL International Association,2019-07-24,,Active
QUAL000683,DUD100528,TEFL,Teaching Certification,International TEFL Academy,2022-12-09,2025-10-10,Expired
QUAL000684,DUD100529,TESOL,Teaching Certification,TESOL International Association,2020-09-05,2023-12-28,Expired
QUAL000685,DUD100530,MA Education,Degree,University,2024-08-01,,Active
QUAL000686,DUD100530,CELTA,Teaching Certification,Cambridge English,2025-06-07,,Active
QUAL000687,DUD100531,CELTA,Teaching Certification,Cambridge English,2022-03-06,,Active
QUAL000688,DUD100531,TEFL,Teaching Certification,International TEFL Academy,2019-07-28,,Active
QUAL000689,DUD100532,BA Linguistics,Degree,University,2025-05-05,,Active
QUAL000690,DUD100533,TEFL,Teaching Certification,International TEFL Academy,2019-12-26,,Active
QUAL000691,DUD100534,TESOL,Teaching Certification,TESOL International Association,2019-11-12,,Active
QUAL000692,DUD100535,MA Education,Degree,University,2021-01-02,,Active
QUAL000693,DUD100536,BA English,Degree,University,2023-02-09,,Active
QUAL000694,DUD100537,TEFL,Teaching Certification,International TEFL Academy,2023-04-18,,Active
QUAL000695,DUD100538,TESOL,Teaching Certification,TESOL International Association,2020-01-09,,Active
QUAL000696,DUD100539,MA Education,Degree,University,2021-08-25,,Active
QUAL000697,DUD100539,BA Linguistics,Degree,University,2021-12-19,,Active
